Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «porn», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
17 февраля 2020 – 23 февраля 2020;1 731 677;0,077;
24 февраля 2020 – 1 марта 2020;1 734 261;0,078;
2 марта 2020 – 8 марта 2020;1 687 607;0,078;
9 марта 2020 – 15 марта 2020;1 762 060;0,080;
16 марта 2020 – 22 марта 2020;1 782 077;0,080;
23 марта 2020 – 29 марта 2020;2 004 363;0,090;
30 марта 2020 – 5 апреля 2020;2 027 727;0,086;
6 апреля 2020 – 12 апреля 2020;1 965 199;0,070;
13 апреля 2020 – 19 апреля 2020;1 946 637;0,068;
20 апреля 2020 – 26 апреля 2020;1 962 068;0,068;
27 апреля 2020 – 3 мая 2020;1 909 866;0,073;
4 мая 2020 – 10 мая 2020;1 924 733;0,083;
11 мая 2020 – 17 мая 2020;1 904 791;0,073;
18 мая 2020 – 24 мая 2020;1 886 340;0,072;
25 мая 2020 – 31 мая 2020;1 966 432;0,086;
1 июня 2020 – 7 июня 2020;1 960 914;0,089;
8 июня 2020 – 14 июня 2020;1 936 328;0,095;
15 июня 2020 – 21 июня 2020;1 976 021;0,096;
22 июня 2020 – 28 июня 2020;1 996 305;0,100;
29 июня 2020 – 5 июля 2020;1 974 126;0,101;
6 июля 2020 – 12 июля 2020;1 885 529;0,100;
13 июля 2020 – 19 июля 2020;1 864 424;0,099;
20 июля 2020 – 26 июля 2020;1 861 680;0,098;
27 июля 2020 – 2 августа 2020;1 872 260;0,099;
3 августа 2020 – 9 августа 2020;1 912 218;0,102;
10 августа 2020 – 16 августа 2020;1 881 113;0,099;
17 августа 2020 – 23 августа 2020;1 856 064;0,098;
24 августа 2020 – 30 августа 2020;1 878 374;0,098;
31 августа 2020 – 6 сентября 2020;1 847 579;0,092;
7 сентября 2020 – 13 сентября 2020;1 871 564;0,086;
14 сентября 2020 – 20 сентября 2020;1 960 179;0,087;
21 сентября 2020 – 27 сентября 2020;2 063 944;0,090;
28 сентября 2020 – 4 октября 2020;1 991 926;0,086;
5 октября 2020 – 11 октября 2020;2 140 316;0,091;
12 октября 2020 – 18 октября 2020;2 007 362;0,082;
19 октября 2020 – 25 октября 2020;1 928 625;0,077;
26 октября 2020 – 1 ноября 2020;1 982 259;0,079;
2 ноября 2020 – 8 ноября 2020;1 997 255;0,080;
9 ноября 2020 – 15 ноября 2020;1 993 982;0,074;
16 ноября 2020 – 22 ноября 2020;1 986 651;0,072;
23 ноября 2020 – 29 ноября 2020;2 219 627;0,080;
30 ноября 2020 – 6 декабря 2020;2 180 473;0,082;
7 декабря 2020 – 13 декабря 2020;2 047 606;0,079;
14 декабря 2020 – 20 декабря 2020;2 122 636;0,082;
21 декабря 2020 – 27 декабря 2020;2 154 209;0,087;
28 декабря 2020 – 3 января 2021;2 130 700;0,107;
4 января 2021 – 10 января 2021;2 303 820;0,108;
11 января 2021 – 17 января 2021;2 236 025;0,090;
18 января 2021 – 24 января 2021;2 192 399;0,088;
25 января 2021 – 31 января 2021;2 208 435;0,089;
1 февраля 2021 – 7 февраля 2021;2 177 687;0,089;
8 февраля 2021 – 14 февраля 2021;2 209 474;0,087;
15 февраля 2021 – 21 февраля 2021;2 318 932;0,091;
22 февраля 2021 – 28 февраля 2021;2 373 662;0,097;
1 марта 2021 – 7 марта 2021;2 325 368;0,096;
8 марта 2021 – 14 марта 2021;2 394 468;0,097;
15 марта 2021 – 21 марта 2021;2 330 536;0,093;
22 марта 2021 – 28 марта 2021;2 354 419;0,099;
29 марта 2021 – 4 апреля 2021;2 365 505;0,096;
5 апреля 2021 – 11 апреля 2021;2 415 935;0,095;
12 апреля 2021 – 18 апреля 2021;2 317 075;0,093;
19 апреля 2021 – 25 апреля 2021;2 348 983;0,093;
26 апреля 2021 – 2 мая 2021;2 323 479;0,098;
3 мая 2021 – 9 мая 2021;2 472 265;0,113;
10 мая 2021 – 16 мая 2021;2 481 255;0,104;
17 мая 2021 – 23 мая 2021;2 393 644;0,097;
24 мая 2021 – 30 мая 2021;2 426 828;0,102;
31 мая 2021 – 6 июня 2021;2 460 123;0,105;
7 июня 2021 – 13 июня 2021;2 453 453;0,104;
14 июня 2021 – 20 июня 2021;2 470 856;0,109;
21 июня 2021 – 27 июня 2021;2 429 043;0,107;
28 июня 2021 – 4 июля 2021;2 449 539;0,109;
5 июля 2021 – 11 июля 2021;2 481 628;0,114;
12 июля 2021 – 18 июля 2021;2 531 671;0,117;
19 июля 2021 – 25 июля 2021;2 483 220;0,113;
26 июля 2021 – 1 августа 2021;2 528 746;0,114;
2 августа 2021 – 8 августа 2021;2 527 601;0,113;
9 августа 2021 – 15 августа 2021;2 563 653;0,115;
16 августа 2021 – 22 августа 2021;2 572 495;0,114;
23 августа 2021 – 29 августа 2021;2 581 101;0,112;
30 августа 2021 – 5 сентября 2021;2 563 049;0,108;
6 сентября 2021 – 12 сентября 2021;2 460 929;0,103;
13 сентября 2021 – 19 сентября 2021;2 548 529;0,101;
20 сентября 2021 – 26 сентября 2021;2 519 585;0,097;
27 сентября 2021 – 3 октября 2021;2 478 630;0,099;
4 октября 2021 – 10 октября 2021;2 494 524;0,099;
11 октября 2021 – 17 октября 2021;2 505 183;0,095;
18 октября 2021 – 24 октября 2021;2 536 033;0,096;
25 октября 2021 – 31 октября 2021;2 571 418;0,100;
1 ноября 2021 – 7 ноября 2021;2 662 841;0,108;
8 ноября 2021 – 14 ноября 2021;2 636 945;0,096;
15 ноября 2021 – 21 ноября 2021;2 653 372;0,096;
22 ноября 2021 – 28 ноября 2021;2 652 756;0,096;
29 ноября 2021 – 5 декабря 2021;2 617 303;0,096;
6 декабря 2021 – 12 декабря 2021;2 668 764;0,097;
13 декабря 2021 – 19 декабря 2021;2 710 204;0,097;
20 декабря 2021 – 26 декабря 2021;2 740 055;0,100;
27 декабря 2021 – 2 января 2022;2 740 117;0,121;
3 января 2022 – 9 января 2022;2 968 000;0,127;
10 января 2022 – 16 января 2022;2 901 998;0,106;
17 января 2022 – 23 января 2022;2 895 120;0,102;
24 января 2022 – 30 января 2022;2 918 971;0,100;
31 января 2022 – 6 февраля 2022;2 927 865;0,099;
7 февраля 2022 – 13 февраля 2022;2 991 451;0,099;
14 февраля 2022 – 20 февраля 2022;2 978 648;0,101;
21 февраля 2022 – 27 февраля 2022;3 015 775;0,106;
28 февраля 2022 – 6 марта 2022;2 944 944;0,102;
7 марта 2022 – 13 марта 2022;3 033 852;0,109;
14 марта 2022 – 20 марта 2022;2 979 629;0,102;
21 марта 2022 – 27 марта 2022;3 034 844;0,107;
28 марта 2022 – 3 апреля 2022;2 970 108;0,104;
4 апреля 2022 – 10 апреля 2022;2 911 528;0,102;
11 апреля 2022 – 17 апреля 2022;2 908 357;0,104;
18 апреля 2022 – 24 апреля 2022;2 888 047;0,104;
25 апреля 2022 – 1 мая 2022;2 929 455;0,110;
2 мая 2022 – 8 мая 2022;3 156 679;0,126;
9 мая 2022 – 15 мая 2022;3 156 878;0,117;
16 мая 2022 – 22 мая 2022;3 260 532;0,114;
23 мая 2022 – 29 мая 2022;3 430 565;0,125;
30 мая 2022 – 5 июня 2022;3 277 865;0,129;
6 июня 2022 – 12 июня 2022;3 197 761;0,129;
13 июня 2022 – 19 июня 2022;3 181 509;0,129;
20 июня 2022 – 26 июня 2022;3 248 938;0,127;
27 июня 2022 – 3 июля 2022;3 218 539;0,135;
4 июля 2022 – 10 июля 2022;3 119 894;0,133;
11 июля 2022 – 17 июля 2022;3 178 167;0,134;
18 июля 2022 – 24 июля 2022;3 272 960;0,138;
25 июля 2022 – 31 июля 2022;3 278 418;0,139;
1 августа 2022 – 7 августа 2022;3 307 985;0,140;
8 августа 2022 – 14 августа 2022;3 275 564;0,138;
15 августа 2022 – 21 августа 2022;3 365 528;0,138;
22 августа 2022 – 28 августа 2022;3 377 232;0,138;
29 августа 2022 – 4 сентября 2022;3 336 533;0,132;
5 сентября 2022 – 11 сентября 2022;3 233 610;0,119;
12 сентября 2022 – 18 сентября 2022;3 336 215;0,122;
19 сентября 2022 – 25 сентября 2022;3 307 994;0,119;
26 сентября 2022 – 2 октября 2022;3 134 801;0,115;
3 октября 2022 – 9 октября 2022;3 253 245;0,119;
10 октября 2022 – 16 октября 2022;3 318 376;0,120;
17 октября 2022 – 23 октября 2022;3 544 019;0,122;
24 октября 2022 – 30 октября 2022;3 740 115;0,132;
31 октября 2022 – 6 ноября 2022;3 720 736;0,134;
7 ноября 2022 – 13 ноября 2022;4 120 404;0,143;
14 ноября 2022 – 20 ноября 2022;4 137 464;0,138;
21 ноября 2022 – 27 ноября 2022;3 457 749;0,115;
28 ноября 2022 – 4 декабря 2022;3 384 482;0,114;
5 декабря 2022 – 11 декабря 2022;3 360 781;0,113;
12 декабря 2022 – 18 декабря 2022;3 379 202;0,115;
19 декабря 2022 – 25 декабря 2022;3 450 420;0,119;
26 декабря 2022 – 1 января 2023;3 140 052;0,130;
2 января 2023 – 8 января 2023;3 515 843;0,144;
9 января 2023 – 15 января 2023;3 379 395;0,119;
16 января 2023 – 22 января 2023;3 292 717;0,113;
23 января 2023 – 29 января 2023;3 231 281;0,111;
30 января 2023 – 5 февраля 2023;3 260 728;0,113;
6 февраля 2023 – 12 февраля 2023;3 248 213;0,112;
13 февраля 2023 – 19 февраля 2023;3 242 516;0,112;
20 февраля 2023 – 26 февраля 2023;3 427 753;0,126;
27 февраля 2023 – 5 марта 2023;3 331 568;0,116;
6 марта 2023 – 12 марта 2023;3 373 196;0,123;
13 марта 2023 – 19 марта 2023;3 297 000;0,115;
20 марта 2023 – 26 марта 2023;3 265 273;0,118;
27 марта 2023 – 2 апреля 2023;3 312 408;0,121;
3 апреля 2023 – 9 апреля 2023;3 248 507;0,118;
10 апреля 2023 – 16 апреля 2023;3 170 281;0,117;
17 апреля 2023 – 23 апреля 2023;3 312 009;0,123;
24 апреля 2023 – 30 апреля 2023;3 349 194;0,127;
1 мая 2023 – 7 мая 2023;3 345 565;0,132;
8 мая 2023 – 14 мая 2023;3 414 812;0,136;
15 мая 2023 – 21 мая 2023;3 334 360;0,128;
22 мая 2023 – 28 мая 2023;3 420 301;0,136;
29 мая 2023 – 4 июня 2023;3 482 152;0,142;
5 июня 2023 – 11 июня 2023;3 514 695;0,146;
12 июня 2023 – 18 июня 2023;3 539 726;0,151;
19 июня 2023 – 25 июня 2023;3 515 738;0,147;
26 июня 2023 – 2 июля 2023;3 564 204;0,153;
3 июля 2023 – 9 июля 2023;3 532 878;0,156;
10 июля 2023 – 16 июля 2023;3 538 943;0,154;
17 июля 2023 – 23 июля 2023;3 560 454;0,157;
24 июля 2023 – 30 июля 2023;3 616 511;0,158;
31 июля 2023 – 6 августа 2023;3 621 820;0,162;
7 августа 2023 – 13 августа 2023;3 632 996;0,159;
14 августа 2023 – 20 августа 2023;3 563 759;0,158;
21 августа 2023 – 27 августа 2023;3 547 247;0,158;
28 августа 2023 – 3 сентября 2023;3 555 967;0,159;
