Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «порно», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
3 февраля 2020 – 9 февраля 2020;58 299 981;2,64;
10 февраля 2020 – 16 февраля 2020;58 565 198;2,60;
17 февраля 2020 – 23 февраля 2020;58 756 883;2,64;
24 февраля 2020 – 1 марта 2020;60 032 329;2,72;
2 марта 2020 – 8 марта 2020;57 728 977;2,69;
9 марта 2020 – 15 марта 2020;60 709 808;2,76;
16 марта 2020 – 22 марта 2020;60 806 264;2,73;
23 марта 2020 – 29 марта 2020;61 543 412;2,77;
30 марта 2020 – 5 апреля 2020;64 690 503;2,76;
6 апреля 2020 – 12 апреля 2020;64 484 702;2,30;
13 апреля 2020 – 19 апреля 2020;65 822 917;2,31;
20 апреля 2020 – 26 апреля 2020;65 809 493;2,30;
27 апреля 2020 – 3 мая 2020;63 011 006;2,43;
4 мая 2020 – 10 мая 2020;63 344 757;2,75;
11 мая 2020 – 17 мая 2020;63 044 589;2,41;
18 мая 2020 – 24 мая 2020;62 097 789;2,39;
25 мая 2020 – 31 мая 2020;63 164 457;2,77;
1 июня 2020 – 7 июня 2020;62 721 635;2,86;
8 июня 2020 – 14 июня 2020;62 276 220;3,08;
15 июня 2020 – 21 июня 2020;63 095 853;3,08;
22 июня 2020 – 28 июня 2020;64 418 907;3,22;
29 июня 2020 – 5 июля 2020;64 432 762;3,30;
6 июля 2020 – 12 июля 2020;62 431 248;3,31;
13 июля 2020 – 19 июля 2020;61 780 091;3,29;
20 июля 2020 – 26 июля 2020;61 665 245;3,27;
27 июля 2020 – 2 августа 2020;62 717 438;3,33;
3 августа 2020 – 9 августа 2020;63 530 835;3,39;
10 августа 2020 – 16 августа 2020;62 904 535;3,33;
17 августа 2020 – 23 августа 2020;62 884 166;3,32;
24 августа 2020 – 30 августа 2020;62 888 120;3,29;
31 августа 2020 – 6 сентября 2020;63 169 139;3,17;
7 сентября 2020 – 13 сентября 2020;63 811 575;2,96;
14 сентября 2020 – 20 сентября 2020;64 168 242;2,85;
21 сентября 2020 – 27 сентября 2020;64 635 532;2,83;
28 сентября 2020 – 4 октября 2020;63 475 159;2,76;
5 октября 2020 – 11 октября 2020;64 134 005;2,72;
12 октября 2020 – 18 октября 2020;63 516 885;2,60;
19 октября 2020 – 25 октября 2020;63 264 815;2,53;
26 октября 2020 – 1 ноября 2020;63 411 403;2,53;
2 ноября 2020 – 8 ноября 2020;64 253 957;2,58;
9 ноября 2020 – 15 ноября 2020;63 513 694;2,37;
16 ноября 2020 – 22 ноября 2020;63 377 816;2,32;
23 ноября 2020 – 29 ноября 2020;63 953 412;2,31;
30 ноября 2020 – 6 декабря 2020;63 541 709;2,41;
7 декабря 2020 – 13 декабря 2020;63 315 107;2,44;
14 декабря 2020 – 20 декабря 2020;64 077 307;2,49;
21 декабря 2020 – 27 декабря 2020;65 064 520;2,65;
28 декабря 2020 – 3 января 2021;62 339 358;3,14;
4 января 2021 – 10 января 2021;69 190 199;3,24;
11 января 2021 – 17 января 2021;66 774 077;2,71;
18 января 2021 – 24 января 2021;65 164 892;2,63;
25 января 2021 – 31 января 2021;64 822 440;2,62;
1 февраля 2021 – 7 февраля 2021;64 476 254;2,64;
8 февраля 2021 – 14 февраля 2021;64 388 969;2,55;
15 февраля 2021 – 21 февраля 2021;64 516 014;2,53;
22 февраля 2021 – 28 февраля 2021;66 115 556;2,72;
1 марта 2021 – 7 марта 2021;63 691 483;2,64;
8 марта 2021 – 14 марта 2021;65 659 641;2,67;
15 марта 2021 – 21 марта 2021;64 309 886;2,57;
22 марта 2021 – 28 марта 2021;65 208 900;2,75;
29 марта 2021 – 4 апреля 2021;65 223 849;2,66;
5 апреля 2021 – 11 апреля 2021;64 744 534;2,55;
12 апреля 2021 – 18 апреля 2021;63 299 245;2,54;
19 апреля 2021 – 25 апреля 2021;63 196 646;2,50;
26 апреля 2021 – 2 мая 2021;61 129 762;2,58;
3 мая 2021 – 9 мая 2021;64 859 620;2,98;
10 мая 2021 – 16 мая 2021;64 835 514;2,73;
17 мая 2021 – 23 мая 2021;64 419 352;2,62;
24 мая 2021 – 30 мая 2021;65 543 825;2,78;
31 мая 2021 – 6 июня 2021;64 321 629;2,76;
7 июня 2021 – 13 июня 2021;64 196 267;2,73;
14 июня 2021 – 20 июня 2021;64 641 577;2,86;
21 июня 2021 – 27 июня 2021;64 024 656;2,82;
28 июня 2021 – 4 июля 2021;64 947 924;2,90;
5 июля 2021 – 11 июля 2021;64 368 360;2,96;
12 июля 2021 – 18 июля 2021;65 338 960;3,02;
19 июля 2021 – 25 июля 2021;65 167 922;2,98;
26 июля 2021 – 1 августа 2021;65 556 242;2,97;
2 августа 2021 – 8 августа 2021;65 659 643;2,95;
9 августа 2021 – 15 августа 2021;66 547 171;2,99;
16 августа 2021 – 22 августа 2021;65 908 032;2,92;
23 августа 2021 – 29 августа 2021;65 827 837;2,87;
30 августа 2021 – 5 сентября 2021;65 700 456;2,78;
6 сентября 2021 – 12 сентября 2021;64 345 280;2,69;
13 сентября 2021 – 19 сентября 2021;66 199 574;2,64;
20 сентября 2021 – 26 сентября 2021;66 064 028;2,56;
27 сентября 2021 – 3 октября 2021;64 677 890;2,58;
4 октября 2021 – 10 октября 2021;65 171 805;2,59;
11 октября 2021 – 17 октября 2021;65 426 937;2,49;
18 октября 2021 – 24 октября 2021;66 336 722;2,51;
25 октября 2021 – 31 октября 2021;65 952 442;2,57;
1 ноября 2021 – 7 ноября 2021;67 848 785;2,75;
8 ноября 2021 – 14 ноября 2021;66 277 616;2,43;
15 ноября 2021 – 21 ноября 2021;65 906 936;2,38;
22 ноября 2021 – 28 ноября 2021;65 757 876;2,39;
29 ноября 2021 – 5 декабря 2021;65 896 504;2,42;
6 декабря 2021 – 12 декабря 2021;65 335 029;2,37;
13 декабря 2021 – 19 декабря 2021;66 810 680;2,41;
20 декабря 2021 – 26 декабря 2021;66 053 063;2,42;
27 декабря 2021 – 2 января 2022;63 552 231;2,80;
3 января 2022 – 9 января 2022;70 794 634;3,03;
10 января 2022 – 16 января 2022;69 867 658;2,55;
17 января 2022 – 23 января 2022;68 224 002;2,41;
24 января 2022 – 30 января 2022;68 961 438;2,38;
31 января 2022 – 6 февраля 2022;68 463 109;2,32;
7 февраля 2022 – 13 февраля 2022;70 114 836;2,32;
14 февраля 2022 – 20 февраля 2022;70 752 660;2,40;
21 февраля 2022 – 27 февраля 2022;71 745 962;2,53;
28 февраля 2022 – 6 марта 2022;69 670 947;2,42;
7 марта 2022 – 13 марта 2022;70 957 421;2,55;
14 марта 2022 – 20 марта 2022;71 750 603;2,46;
21 марта 2022 – 27 марта 2022;73 510 595;2,59;
28 марта 2022 – 3 апреля 2022;74 428 662;2,62;
4 апреля 2022 – 10 апреля 2022;73 536 848;2,58;
11 апреля 2022 – 17 апреля 2022;71 219 108;2,54;
18 апреля 2022 – 24 апреля 2022;69 654 554;2,51;
25 апреля 2022 – 1 мая 2022;70 702 019;2,66;
2 мая 2022 – 8 мая 2022;74 535 572;2,98;
9 мая 2022 – 15 мая 2022;75 378 758;2,79;
16 мая 2022 – 22 мая 2022;77 398 080;2,72;
23 мая 2022 – 29 мая 2022;77 468 125;2,83;
30 мая 2022 – 5 июня 2022;76 444 091;3,00;
6 июня 2022 – 12 июня 2022;75 341 423;3,05;
13 июня 2022 – 19 июня 2022;75 255 375;3,06;
20 июня 2022 – 26 июня 2022;75 756 373;2,98;
27 июня 2022 – 3 июля 2022;74 708 711;3,13;
4 июля 2022 – 10 июля 2022;73 555 961;3,15;
11 июля 2022 – 17 июля 2022;75 648 856;3,19;
18 июля 2022 – 24 июля 2022;76 707 128;3,25;
25 июля 2022 – 31 июля 2022;76 542 135;3,24;
1 августа 2022 – 7 августа 2022;77 031 206;3,27;
8 августа 2022 – 14 августа 2022;76 442 014;3,22;
15 августа 2022 – 21 августа 2022;76 203 682;3,14;
22 августа 2022 – 28 августа 2022;76 216 380;3,12;
29 августа 2022 – 4 сентября 2022;76 651 971;3,04;
5 сентября 2022 – 11 сентября 2022;74 455 677;2,75;
12 сентября 2022 – 18 сентября 2022;76 484 997;2,79;
19 сентября 2022 – 25 сентября 2022;76 381 909;2,75;
26 сентября 2022 – 2 октября 2022;73 343 139;2,70;
3 октября 2022 – 9 октября 2022;76 174 615;2,79;
10 октября 2022 – 16 октября 2022;76 367 442;2,77;
17 октября 2022 – 23 октября 2022;80 561 955;2,77;
24 октября 2022 – 30 октября 2022;80 296 689;2,84;
