Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «телеграмм», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
2 марта 2020 – 8 марта 2020;545 485;0,0254;
9 марта 2020 – 15 марта 2020;579 620;0,0264;
16 марта 2020 – 22 марта 2020;617 009;0,0277;
23 марта 2020 – 29 марта 2020;621 760;0,0280;
30 марта 2020 – 5 апреля 2020;770 641;0,0328;
6 апреля 2020 – 12 апреля 2020;733 555;0,0262;
13 апреля 2020 – 19 апреля 2020;734 377;0,0258;
20 апреля 2020 – 26 апреля 2020;754 862;0,0264;
27 апреля 2020 – 3 мая 2020;676 070;0,0261;
4 мая 2020 – 10 мая 2020;647 765;0,0281;
11 мая 2020 – 17 мая 2020;654 453;0,0250;
18 мая 2020 – 24 мая 2020;653 112;0,0252;
25 мая 2020 – 31 мая 2020;610 654;0,0267;
1 июня 2020 – 7 июня 2020;635 059;0,0289;
8 июня 2020 – 14 июня 2020;570 469;0,0282;
15 июня 2020 – 21 июня 2020;600 403;0,0293;
22 июня 2020 – 28 июня 2020;576 947;0,0289;
29 июня 2020 – 5 июля 2020;553 455;0,0284;
6 июля 2020 – 12 июля 2020;551 430;0,0292;
13 июля 2020 – 19 июля 2020;573 630;0,0305;
20 июля 2020 – 26 июля 2020;571 415;0,0303;
27 июля 2020 – 2 августа 2020;584 721;0,0311;
3 августа 2020 – 9 августа 2020;602 833;0,0322;
10 августа 2020 – 16 августа 2020;730 736;0,0387;
17 августа 2020 – 23 августа 2020;725 317;0,0382;
24 августа 2020 – 30 августа 2020;646 601;0,0338;
31 августа 2020 – 6 сентября 2020;627 205;0,0315;
7 сентября 2020 – 13 сентября 2020;668 428;0,0310;
14 сентября 2020 – 20 сентября 2020;705 277;0,0314;
21 сентября 2020 – 27 сентября 2020;677 544;0,0297;
28 сентября 2020 – 4 октября 2020;727 692;0,0317;
5 октября 2020 – 11 октября 2020;711 360;0,0302;
12 октября 2020 – 18 октября 2020;749 860;0,0307;
19 октября 2020 – 25 октября 2020;764 819;0,0306;
26 октября 2020 – 1 ноября 2020;795 378;0,0318;
2 ноября 2020 – 8 ноября 2020;852 764;0,0342;
9 ноября 2020 – 15 ноября 2020;974 498;0,0365;
16 ноября 2020 – 22 ноября 2020;890 700;0,0326;
23 ноября 2020 – 29 ноября 2020;865 141;0,0313;
30 ноября 2020 – 6 декабря 2020;872 480;0,0331;
7 декабря 2020 – 13 декабря 2020;863 200;0,0333;
14 декабря 2020 – 20 декабря 2020;942 784;0,0366;
21 декабря 2020 – 27 декабря 2020;856 167;0,0348;
28 декабря 2020 – 3 января 2021;709 779;0,0358;
4 января 2021 – 10 января 2021;888 885;0,0416;
11 января 2021 – 17 января 2021;1 027 404;0,0417;
18 января 2021 – 24 января 2021;983 972;0,0397;
25 января 2021 – 31 января 2021;1 007 163;0,0407;
1 февраля 2021 – 7 февраля 2021;986 919;0,0404;
8 февраля 2021 – 14 февраля 2021;979 880;0,0389;
15 февраля 2021 – 21 февраля 2021;959 941;0,0376;
22 февраля 2021 – 28 февраля 2021;953 808;0,0392;
1 марта 2021 – 7 марта 2021;937 324;0,0389;
8 марта 2021 – 14 марта 2021;980 212;0,0399;
15 марта 2021 – 21 марта 2021;1 053 047;0,0422;
22 марта 2021 – 28 марта 2021;1 051 797;0,0443;
29 марта 2021 – 4 апреля 2021;1 034 820;0,0422;
5 апреля 2021 – 11 апреля 2021;1 043 687;0,0411;
12 апреля 2021 – 18 апреля 2021;1 044 407;0,0420;
19 апреля 2021 – 25 апреля 2021;1 031 375;0,0408;
26 апреля 2021 – 2 мая 2021;961 742;0,0406;
3 мая 2021 – 9 мая 2021;954 278;0,0438;
10 мая 2021 – 16 мая 2021;1 078 680;0,0455;
17 мая 2021 – 23 мая 2021;1 019 786;0,0415;
24 мая 2021 – 30 мая 2021;1 044 179;0,0443;
31 мая 2021 – 6 июня 2021;1 022 925;0,0440;
7 июня 2021 – 13 июня 2021;1 035 530;0,0440;
14 июня 2021 – 20 июня 2021;1 027 389;0,0455;
21 июня 2021 – 27 июня 2021;1 067 007;0,0471;
28 июня 2021 – 4 июля 2021;1 097 432;0,0491;
5 июля 2021 – 11 июля 2021;1 070 942;0,0493;
12 июля 2021 – 18 июля 2021;1 079 441;0,0500;
19 июля 2021 – 25 июля 2021;1 101 565;0,0504;
26 июля 2021 – 1 августа 2021;1 097 167;0,0497;
2 августа 2021 – 8 августа 2021;1 109 877;0,0499;
9 августа 2021 – 15 августа 2021;1 134 402;0,0509;
16 августа 2021 – 22 августа 2021;1 149 148;0,0510;
23 августа 2021 – 29 августа 2021;1 180 471;0,0515;
30 августа 2021 – 5 сентября 2021;1 188 940;0,0504;
6 сентября 2021 – 12 сентября 2021;1 145 847;0,0480;
13 сентября 2021 – 19 сентября 2021;1 237 796;0,0494;
20 сентября 2021 – 26 сентября 2021;1 328 529;0,0515;
27 сентября 2021 – 3 октября 2021;1 237 368;0,0494;
4 октября 2021 – 10 октября 2021;1 414 961;0,0563;
11 октября 2021 – 17 октября 2021;1 383 264;0,0528;
18 октября 2021 – 24 октября 2021;1 382 414;0,0524;
25 октября 2021 – 31 октября 2021;1 413 236;0,0552;
1 ноября 2021 – 7 ноября 2021;1 449 878;0,0588;
8 ноября 2021 – 14 ноября 2021;1 481 074;0,0544;
15 ноября 2021 – 21 ноября 2021;1 480 939;0,0536;
22 ноября 2021 – 28 ноября 2021;1 541 669;0,0560;
29 ноября 2021 – 5 декабря 2021;1 703 464;0,0626;
6 декабря 2021 – 12 декабря 2021;1 564 117;0,0569;
