Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «написать завещание», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
2 марта 2020 – 8 марта 2020;2 738;0,000127;
9 марта 2020 – 15 марта 2020;3 134;0,000142;
16 марта 2020 – 22 марта 2020;2 790;0,000125;
23 марта 2020 – 29 марта 2020;3 184;0,000143;
30 марта 2020 – 5 апреля 2020;2 532;0,000108;
6 апреля 2020 – 12 апреля 2020;4 175;0,000149;
13 апреля 2020 – 19 апреля 2020;5 527;0,000194;
20 апреля 2020 – 26 апреля 2020;7 107;0,000249;
27 апреля 2020 – 3 мая 2020;6 115;0,000236;
4 мая 2020 – 10 мая 2020;3 731;0,000162;
11 мая 2020 – 17 мая 2020;7 485;0,000287;
18 мая 2020 – 24 мая 2020;6 794;0,000262;
25 мая 2020 – 31 мая 2020;3 888;0,000170;
1 июня 2020 – 7 июня 2020;2 794;0,000127;
8 июня 2020 – 14 июня 2020;2 344;0,000115;
15 июня 2020 – 21 июня 2020;2 543;0,000124;
22 июня 2020 – 28 июня 2020;2 421;0,000121;
29 июня 2020 – 5 июля 2020;2 183;0,000112;
6 июля 2020 – 12 июля 2020;2 033;0,000107;
13 июля 2020 – 19 июля 2020;2 038;0,000108;
20 июля 2020 – 26 июля 2020;2 119;0,000112;
27 июля 2020 – 2 августа 2020;1 948;0,000103;
3 августа 2020 – 9 августа 2020;1 960;0,000104;
10 августа 2020 – 16 августа 2020;2 022;0,000107;
17 августа 2020 – 23 августа 2020;2 271;0,000119;
24 августа 2020 – 30 августа 2020;2 114;0,000110;
31 августа 2020 – 6 сентября 2020;1 911;0,000096;
7 сентября 2020 – 13 сентября 2020;2 209;0,000102;
14 сентября 2020 – 20 сентября 2020;2 261;0,000100;
21 сентября 2020 – 27 сентября 2020;2 584;0,000113;
28 сентября 2020 – 4 октября 2020;2 656;0,000115;
5 октября 2020 – 11 октября 2020;2 729;0,000116;
12 октября 2020 – 18 октября 2020;2 948;0,000120;
19 октября 2020 – 25 октября 2020;3 168;0,000126;
26 октября 2020 – 1 ноября 2020;3 320;0,000132;
2 ноября 2020 – 8 ноября 2020;3 195;0,000128;
9 ноября 2020 – 15 ноября 2020;3 484;0,000130;
16 ноября 2020 – 22 ноября 2020;3 819;0,000140;
23 ноября 2020 – 29 ноября 2020;4 292;0,000155;
30 ноября 2020 – 6 декабря 2020;4 018;0,000152;
7 декабря 2020 – 13 декабря 2020;4 151;0,000160;
14 декабря 2020 – 20 декабря 2020;4 079;0,000158;
21 декабря 2020 – 27 декабря 2020;3 373;0,000137;
28 декабря 2020 – 3 января 2021;1 755;0,000088;
4 января 2021 – 10 января 2021;2 435;0,000114;
11 января 2021 – 17 января 2021;3 207;0,000130;
18 января 2021 – 24 января 2021;3 597;0,000145;
25 января 2021 – 31 января 2021;3 640;0,000147;
