Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «уехать из россии», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
2 марта 2020 – 8 марта 2020;2 191;0,000102;
9 марта 2020 – 15 марта 2020;4 021;0,000183;
16 марта 2020 – 22 марта 2020;5 177;0,000232;
23 марта 2020 – 29 марта 2020;3 495;0,000157;
30 марта 2020 – 5 апреля 2020;3 416;0,000145;
6 апреля 2020 – 12 апреля 2020;3 397;0,000121;
13 апреля 2020 – 19 апреля 2020;3 664;0,000128;
20 апреля 2020 – 26 апреля 2020;4 737;0,000165;
27 апреля 2020 – 3 мая 2020;4 026;0,000155;
4 мая 2020 – 10 мая 2020;4 191;0,000182;
11 мая 2020 – 17 мая 2020;4 029;0,000154;
18 мая 2020 – 24 мая 2020;3 896;0,000150;
25 мая 2020 – 31 мая 2020;3 894;0,000170;
1 июня 2020 – 7 июня 2020;3 679;0,000167;
8 июня 2020 – 14 июня 2020;3 699;0,000182;
15 июня 2020 – 21 июня 2020;5 250;0,000256;
22 июня 2020 – 28 июня 2020;5 187;0,000259;
29 июня 2020 – 5 июля 2020;6 126;0,000314;
6 июля 2020 – 12 июля 2020;4 157;0,000220;
13 июля 2020 – 19 июля 2020;3 613;0,000192;
20 июля 2020 – 26 июля 2020;3 856;0,000204;
27 июля 2020 – 2 августа 2020;3 975;0,000211;
3 августа 2020 – 9 августа 2020;3 925;0,000209;
10 августа 2020 – 16 августа 2020;3 355;0,000177;
17 августа 2020 – 23 августа 2020;3 036;0,000160;
24 августа 2020 – 30 августа 2020;2 926;0,000153;
31 августа 2020 – 6 сентября 2020;2 846;0,000143;
7 сентября 2020 – 13 сентября 2020;2 852;0,000132;
14 сентября 2020 – 20 сентября 2020;2 891;0,000128;
21 сентября 2020 – 27 сентября 2020;2 702;0,000118;
28 сентября 2020 – 4 октября 2020;3 114;0,000135;
5 октября 2020 – 11 октября 2020;2 949;0,000125;
12 октября 2020 – 18 октября 2020;3 407;0,000139;
19 октября 2020 – 25 октября 2020;3 069;0,000122;
26 октября 2020 – 1 ноября 2020;3 209;0,000128;
2 ноября 2020 – 8 ноября 2020;3 471;0,000139;
9 ноября 2020 – 15 ноября 2020;3 316;0,000124;
16 ноября 2020 – 22 ноября 2020;3 275;0,000120;
23 ноября 2020 – 29 ноября 2020;3 276;0,000118;
30 ноября 2020 – 6 декабря 2020;3 428;0,000130;
7 декабря 2020 – 13 декабря 2020;3 220;0,000124;
14 декабря 2020 – 20 декабря 2020;3 175;0,000123;
21 декабря 2020 – 27 декабря 2020;2 843;0,000115;
28 декабря 2020 – 3 января 2021;2 905;0,000146;
4 января 2021 – 10 января 2021;4 478;0,000209;
11 января 2021 – 17 января 2021;3 942;0,000160;
18 января 2021 – 24 января 2021;3 978;0,000160;
25 января 2021 – 31 января 2021;3 878;0,000156;
1 февраля 2021 – 7 февраля 2021;5 022;0,000205;
8 февраля 2021 – 14 февраля 2021;3 867;0,000153;
15 февраля 2021 – 21 февраля 2021;3 591;0,000141;
22 февраля 2021 – 28 февраля 2021;3 946;0,000162;
1 марта 2021 – 7 марта 2021;3 365;0,000139;
8 марта 2021 – 14 марта 2021;3 617;0,000147;
15 марта 2021 – 21 марта 2021;3 804;0,000152;
22 марта 2021 – 28 марта 2021;3 675;0,000155;
29 марта 2021 – 4 апреля 2021;4 045;0,000164;
5 апреля 2021 – 11 апреля 2021;3 891;0,000153;
12 апреля 2021 – 18 апреля 2021;3 509;0,000141;
19 апреля 2021 – 25 апреля 2021;3 510;0,000139;
26 апреля 2021 – 2 мая 2021;3 168;0,000133;
3 мая 2021 – 9 мая 2021;3 368;0,000154;
10 мая 2021 – 16 мая 2021;3 093;0,000130;
17 мая 2021 – 23 мая 2021;2 719;0,000110;
24 мая 2021 – 30 мая 2021;3 197;0,000135;
31 мая 2021 – 6 июня 2021;3 294;0,000141;
7 июня 2021 – 13 июня 2021;3 393;0,000144;
14 июня 2021 – 20 июня 2021;3 353;0,000148;
21 июня 2021 – 27 июня 2021;3 865;0,000170;
28 июня 2021 – 4 июля 2021;3 914;0,000175;
5 июля 2021 – 11 июля 2021;3 454;0,000159;
12 июля 2021 – 18 июля 2021;3 420;0,000158;
19 июля 2021 – 25 июля 2021;3 385;0,000154;
26 июля 2021 – 1 августа 2021;3 268;0,000148;
2 августа 2021 – 8 августа 2021;3 576;0,000161;
9 августа 2021 – 15 августа 2021;3 287;0,000147;
16 августа 2021 – 22 августа 2021;3 265;0,000145;
23 августа 2021 – 29 августа 2021;2 984;0,000130;
30 августа 2021 – 5 сентября 2021;2 726;0,000115;
6 сентября 2021 – 12 сентября 2021;2 562;0,000107;
13 сентября 2021 – 19 сентября 2021;2 639;0,000105;
20 сентября 2021 – 26 сентября 2021;3 131;0,000121;
27 сентября 2021 – 3 октября 2021;2 861;0,000114;
4 октября 2021 – 10 октября 2021;2 909;0,000115;
11 октября 2021 – 17 октября 2021;2 937;0,000112;
18 октября 2021 – 24 октября 2021;3 297;0,000125;
25 октября 2021 – 31 октября 2021;3 299;0,000128;
1 ноября 2021 – 7 ноября 2021;4 039;0,000164;
8 ноября 2021 – 14 ноября 2021;3 594;0,000132;
15 ноября 2021 – 21 ноября 2021;3 512;0,000127;
22 ноября 2021 – 28 ноября 2021;3 592;0,000130;
29 ноября 2021 – 5 декабря 2021;3 245;0,000119;
6 декабря 2021 – 12 декабря 2021;3 443;0,000125;
13 декабря 2021 – 19 декабря 2021;3 405;0,000122;
20 декабря 2021 – 26 декабря 2021;2 966;0,000109;
27 декабря 2021 – 2 января 2022;2 584;0,000114;
3 января 2022 – 9 января 2022;4 096;0,000175;
10 января 2022 – 16 января 2022;3 986;0,000145;
17 января 2022 – 23 января 2022;4 337;0,000153;
24 января 2022 – 30 января 2022;4 775;0,000164;
31 января 2022 – 6 февраля 2022;5 159;0,000174;
7 февраля 2022 – 13 февраля 2022;4 804;0,000159;
14 февраля 2022 – 20 февраля 2022;5 115;0,000173;
21 февраля 2022 – 27 февраля 2022;19 578;0,000692;
28 февраля 2022 – 6 марта 2022;40 476;0,001407;
7 марта 2022 – 13 марта 2022;24 576;0,000883;
14 марта 2022 – 20 марта 2022;14 521;0,000499;
21 марта 2022 – 27 марта 2022;12 088;0,000426;
28 марта 2022 – 3 апреля 2022;7 777;0,000273;
4 апреля 2022 – 10 апреля 2022;9 831;0,000345;
11 апреля 2022 – 17 апреля 2022;6 323;0,000226;
18 апреля 2022 – 24 апреля 2022;5 609;0,000202;
25 апреля 2022 – 1 мая 2022;5 305;0,000200;
2 мая 2022 – 8 мая 2022;5 446;0,000217;
9 мая 2022 – 15 мая 2022;5 479;0,000203;
16 мая 2022 – 22 мая 2022;4 491;0,000158;
23 мая 2022 – 29 мая 2022;4 070;0,000149;
30 мая 2022 – 5 июня 2022;3 805;0,000149;
6 июня 2022 – 12 июня 2022;3 879;0,000157;
13 июня 2022 – 19 июня 2022;3 928;0,000159;
20 июня 2022 – 26 июня 2022;4 186;0,000164;
27 июня 2022 – 3 июля 2022;3 971;0,000166;
4 июля 2022 – 10 июля 2022;3 736;0,000160;
11 июля 2022 – 17 июля 2022;3 803;0,000160;
18 июля 2022 – 24 июля 2022;3 350;0,000142;
25 июля 2022 – 31 июля 2022;3 263;0,000138;
1 августа 2022 – 7 августа 2022;2 942;0,000125;
8 августа 2022 – 14 августа 2022;3 386;0,000142;
15 августа 2022 – 21 августа 2022;3 067;0,000126;
22 августа 2022 – 28 августа 2022;3 239;0,000132;
29 августа 2022 – 4 сентября 2022;2 875;0,000114;
5 сентября 2022 – 11 сентября 2022;2 793;0,000103;
12 сентября 2022 – 18 сентября 2022;3 463;0,000126;
19 сентября 2022 – 25 сентября 2022;72 785;0,002621;
26 сентября 2022 – 2 октября 2022;28 850;0,001062;
3 октября 2022 – 9 октября 2022;11 678;0,000429;
10 октября 2022 – 16 октября 2022;8 163;0,000296;
17 октября 2022 – 23 октября 2022;6 774;0,000233;
24 октября 2022 – 30 октября 2022;5 867;0,000208;
31 октября 2022 – 6 ноября 2022;5 473;0,000198;
7 ноября 2022 – 13 ноября 2022;4 638;0,000161;
14 ноября 2022 – 20 ноября 2022;4 188;0,000139;
21 ноября 2022 – 27 ноября 2022;4 770;0,000159;
28 ноября 2022 – 4 декабря 2022;4 431;0,000149;
5 декабря 2022 – 11 декабря 2022;4 098;0,000138;
12 декабря 2022 – 18 декабря 2022;3 640;0,000124;
19 декабря 2022 – 25 декабря 2022;3 675;0,000127;
26 декабря 2022 – 1 января 2023;3 157;0,000131;
2 января 2023 – 8 января 2023;4 480;0,000184;
9 января 2023 – 15 января 2023;4 559;0,000160;
16 января 2023 – 22 января 2023;4 242;0,000146;
23 января 2023 – 29 января 2023;4 155;0,000143;
30 января 2023 – 5 февраля 2023;3 503;0,000121;
6 февраля 2023 – 12 февраля 2023;3 313;0,000115;
13 февраля 2023 – 19 февраля 2023;3 642;0,000126;
20 февраля 2023 – 26 февраля 2023;3 405;0,000125;
27 февраля 2023 – 5 марта 2023;3 497;0,000121;
6 марта 2023 – 12 марта 2023;2 989;0,000109;
