Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «организация похорон», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
2 марта 2020 – 8 марта 2020;2 049;0,000095;
9 марта 2020 – 15 марта 2020;1 643;0,000074;
16 марта 2020 – 22 марта 2020;1 745;0,000078;
23 марта 2020 – 29 марта 2020;1 652;0,000074;
30 марта 2020 – 5 апреля 2020;2 107;0,000089;
6 апреля 2020 – 12 апреля 2020;1 843;0,000065;
13 апреля 2020 – 19 апреля 2020;2 016;0,000070;
20 апреля 2020 – 26 апреля 2020;2 201;0,000077;
27 апреля 2020 – 3 мая 2020;2 601;0,000100;
4 мая 2020 – 10 мая 2020;3 282;0,000142;
11 мая 2020 – 17 мая 2020;3 891;0,000149;
18 мая 2020 – 24 мая 2020;4 364;0,000168;
25 мая 2020 – 31 мая 2020;4 071;0,000178;
1 июня 2020 – 7 июня 2020;3 311;0,000151;
8 июня 2020 – 14 июня 2020;3 360;0,000166;
15 июня 2020 – 21 июня 2020;3 175;0,000155;
22 июня 2020 – 28 июня 2020;3 322;0,000166;
29 июня 2020 – 5 июля 2020;3 565;0,000183;
6 июля 2020 – 12 июля 2020;2 839;0,000150;
13 июля 2020 – 19 июля 2020;2 261;0,000120;
20 июля 2020 – 26 июля 2020;2 469;0,000131;
27 июля 2020 – 2 августа 2020;2 027;0,000107;
3 августа 2020 – 9 августа 2020;1 755;0,000093;
10 августа 2020 – 16 августа 2020;1 908;0,000101;
17 августа 2020 – 23 августа 2020;3 106;0,000164;
24 августа 2020 – 30 августа 2020;2 821;0,000147;
31 августа 2020 – 6 сентября 2020;3 178;0,000159;
7 сентября 2020 – 13 сентября 2020;2 858;0,000132;
14 сентября 2020 – 20 сентября 2020;1 102;0,000049;
21 сентября 2020 – 27 сентября 2020;1 240;0,000054;
28 сентября 2020 – 4 октября 2020;1 377;0,000060;
5 октября 2020 – 11 октября 2020;1 561;0,000066;
12 октября 2020 – 18 октября 2020;1 235;0,000050;
19 октября 2020 – 25 октября 2020;1 763;0,000070;
26 октября 2020 – 1 ноября 2020;3 430;0,000137;
2 ноября 2020 – 8 ноября 2020;2 791;0,000112;
9 ноября 2020 – 15 ноября 2020;2 777;0,000104;
16 ноября 2020 – 22 ноября 2020;2 133;0,000078;
23 ноября 2020 – 29 ноября 2020;2 015;0,000072;
30 ноября 2020 – 6 декабря 2020;2 066;0,000078;
7 декабря 2020 – 13 декабря 2020;2 412;0,000093;
14 декабря 2020 – 20 декабря 2020;2 238;0,000086;
21 декабря 2020 – 27 декабря 2020;2 175;0,000088;
28 декабря 2020 – 3 января 2021;1 910;0,000096;
4 января 2021 – 10 января 2021;2 123;0,000099;
11 января 2021 – 17 января 2021;2 119;0,000086;
18 января 2021 – 24 января 2021;1 942;0,000078;
25 января 2021 – 31 января 2021;2 215;0,000089;
1 февраля 2021 – 7 февраля 2021;2 124;0,000087;
8 февраля 2021 – 14 февраля 2021;2 505;0,000099;
15 февраля 2021 – 21 февраля 2021;2 876;0,000112;
22 февраля 2021 – 28 февраля 2021;2 453;0,000100;
1 марта 2021 – 7 марта 2021;2 076;0,000086;
8 марта 2021 – 14 марта 2021;1 962;0,000079;
15 марта 2021 – 21 марта 2021;2 586;0,000103;
22 марта 2021 – 28 марта 2021;2 154;0,000090;
29 марта 2021 – 4 апреля 2021;2 567;0,000104;
5 апреля 2021 – 11 апреля 2021;2 807;0,000110;
12 апреля 2021 – 18 апреля 2021;3 560;0,000143;
19 апреля 2021 – 25 апреля 2021;2 230;0,000088;
26 апреля 2021 – 2 мая 2021;2 758;0,000116;
3 мая 2021 – 9 мая 2021;1 742;0,000080;
10 мая 2021 – 16 мая 2021;1 701;0,000071;
17 мая 2021 – 23 мая 2021;1 669;0,000068;
24 мая 2021 – 30 мая 2021;1 698;0,000072;
31 мая 2021 – 6 июня 2021;1 898;0,000081;
7 июня 2021 – 13 июня 2021;1 740;0,000074;
14 июня 2021 – 20 июня 2021;1 632;0,000072;
21 июня 2021 – 27 июня 2021;1 759;0,000077;
28 июня 2021 – 4 июля 2021;2 123;0,000095;
5 июля 2021 – 11 июля 2021;1 965;0,000090;
12 июля 2021 – 18 июля 2021;2 124;0,000098;
19 июля 2021 – 25 июля 2021;2 135;0,000097;
26 июля 2021 – 1 августа 2021;2 283;0,000103;
2 августа 2021 – 8 августа 2021;1 960;0,000088;
9 августа 2021 – 15 августа 2021;1 726;0,000077;
16 августа 2021 – 22 августа 2021;1 677;0,000074;
23 августа 2021 – 29 августа 2021;1 617;0,000070;
30 августа 2021 – 5 сентября 2021;1 724;0,000073;
6 сентября 2021 – 12 сентября 2021;1 591;0,000066;
13 сентября 2021 – 19 сентября 2021;1 600;0,000063;
20 сентября 2021 – 26 сентября 2021;2 136;0,000082;
27 сентября 2021 – 3 октября 2021;2 358;0,000094;
4 октября 2021 – 10 октября 2021;2 060;0,000082;
11 октября 2021 – 17 октября 2021;2 323;0,000088;
18 октября 2021 – 24 октября 2021;2 832;0,000107;
25 октября 2021 – 31 октября 2021;3 002;0,000117;
1 ноября 2021 – 7 ноября 2021;3 815;0,000154;
8 ноября 2021 – 14 ноября 2021;3 128;0,000114;
15 ноября 2021 – 21 ноября 2021;4 295;0,000155;
22 ноября 2021 – 28 ноября 2021;4 912;0,000178;
29 ноября 2021 – 5 декабря 2021;6 989;0,000257;
6 декабря 2021 – 12 декабря 2021;6 746;0,000245;
13 декабря 2021 – 19 декабря 2021;7 235;0,000261;
20 декабря 2021 – 26 декабря 2021;6 130;0,000225;
27 декабря 2021 – 2 января 2022;5 611;0,000247;
3 января 2022 – 9 января 2022;4 471;0,000191;
10 января 2022 – 16 января 2022;3 111;0,000113;
17 января 2022 – 23 января 2022;4 314;0,000152;
24 января 2022 – 30 января 2022;18 085;0,000624;
31 января 2022 – 6 февраля 2022;14 168;0,000480;
7 февраля 2022 – 13 февраля 2022;13 158;0,000436;
14 февраля 2022 – 20 февраля 2022;21 135;0,000716;
21 февраля 2022 – 27 февраля 2022;11 590;0,000410;
28 февраля 2022 – 6 марта 2022;13 813;0,000480;
7 марта 2022 – 13 марта 2022;9 522;0,000342;
14 марта 2022 – 20 марта 2022;6 446;0,000221;
21 марта 2022 – 27 марта 2022;7 706;0,000271;
28 марта 2022 – 3 апреля 2022;7 587;0,000267;
4 апреля 2022 – 10 апреля 2022;9 711;0,000341;
11 апреля 2022 – 17 апреля 2022;10 684;0,000382;
18 апреля 2022 – 24 апреля 2022;12 070;0,000436;
25 апреля 2022 – 1 мая 2022;10 160;0,000383;
2 мая 2022 – 8 мая 2022;10 042;0,000401;
9 мая 2022 – 15 мая 2022;7 979;0,000295;
16 мая 2022 – 22 мая 2022;8 276;0,000291;
23 мая 2022 – 29 мая 2022;7 878;0,000288;
30 мая 2022 – 5 июня 2022;5 801;0,000228;
6 июня 2022 – 12 июня 2022;6 199;0,000251;
13 июня 2022 – 19 июня 2022;4 590;0,000186;
20 июня 2022 – 26 июня 2022;4 670;0,000183;
27 июня 2022 – 3 июля 2022;4 999;0,000209;
4 июля 2022 – 10 июля 2022;3 104;0,000133;
11 июля 2022 – 17 июля 2022;3 305;0,000139;
18 июля 2022 – 24 июля 2022;3 293;0,000139;
25 июля 2022 – 31 июля 2022;3 964;0,000168;
1 августа 2022 – 7 августа 2022;3 785;0,000160;
8 августа 2022 – 14 августа 2022;2 503;0,000105;
15 августа 2022 – 21 августа 2022;3 529;0,000145;
22 августа 2022 – 28 августа 2022;4 481;0,000183;
29 августа 2022 – 4 сентября 2022;3 725;0,000147;
5 сентября 2022 – 11 сентября 2022;4 007;0,000148;
12 сентября 2022 – 18 сентября 2022;2 056;0,000075;
19 сентября 2022 – 25 сентября 2022;1 325;0,000047;
26 сентября 2022 – 2 октября 2022;1 101;0,000040;
3 октября 2022 – 9 октября 2022;1 237;0,000045;
10 октября 2022 – 16 октября 2022;1 061;0,000038;
17 октября 2022 – 23 октября 2022;1 251;0,000043;
24 октября 2022 – 30 октября 2022;1 227;0,000043;
31 октября 2022 – 6 ноября 2022;1 458;0,000052;
7 ноября 2022 – 13 ноября 2022;1 569;0,000054;
14 ноября 2022 – 20 ноября 2022;1 620;0,000054;
21 ноября 2022 – 27 ноября 2022;1 380;0,000046;
28 ноября 2022 – 4 декабря 2022;1 571;0,000052;
5 декабря 2022 – 11 декабря 2022;1 473;0,000049;
12 декабря 2022 – 18 декабря 2022;1 465;0,000049;
19 декабря 2022 – 25 декабря 2022;1 581;0,000054;
26 декабря 2022 – 1 января 2023;1 463;0,000060;
2 января 2023 – 8 января 2023;1 804;0,000074;
9 января 2023 – 15 января 2023;2 131;0,000075;
16 января 2023 – 22 января 2023;2 114;0,000072;
23 января 2023 – 29 января 2023;2 028;0,000069;
30 января 2023 – 5 февраля 2023;2 121;0,000073;
6 февраля 2023 – 12 февраля 2023;1 746;0,000060;
13 февраля 2023 – 19 февраля 2023;2 477;0,000086;
20 февраля 2023 – 26 февраля 2023;2 130;0,000078;
27 февраля 2023 – 5 марта 2023;1 846;0,000064;
6 марта 2023 – 12 марта 2023;1 819;0,000066;
13 марта 2023 – 19 марта 2023;1 736;0,000060;
