Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «тик ток», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
16 марта 2020 – 22 марта 2020;645 709;0,029007;
23 марта 2020 – 29 марта 2020;717 322;0,032380;
30 марта 2020 – 5 апреля 2020;793 061;0,033850;
6 апреля 2020 – 12 апреля 2020;771 890;0,027581;
13 апреля 2020 – 19 апреля 2020;877 361;0,030843;
20 апреля 2020 – 26 апреля 2020;894 931;0,031360;
27 апреля 2020 – 3 мая 2020;879 684;0,034000;
4 мая 2020 – 10 мая 2020;833 966;0,036293;
11 мая 2020 – 17 мая 2020;851 172;0,032641;
18 мая 2020 – 24 мая 2020;953 084;0,036827;
25 мая 2020 – 31 мая 2020;935 598;0,041036;
1 июня 2020 – 7 июня 2020;958 585;0,043767;
8 июня 2020 – 14 июня 2020;876 664;0,043362;
15 июня 2020 – 21 июня 2020;894 510;0,043724;
22 июня 2020 – 28 июня 2020;875 200;0,043861;
29 июня 2020 – 5 июля 2020;898 104;0,046121;
6 июля 2020 – 12 июля 2020;964 917;0,051197;
13 июля 2020 – 19 июля 2020;964 674;0,051433;
20 июля 2020 – 26 июля 2020;985 830;0,052380;
27 июля 2020 – 2 августа 2020;1 088 565;0,057968;
3 августа 2020 – 9 августа 2020;1 187 612;0,063527;
10 августа 2020 – 16 августа 2020;1 110 606;0,058826;
17 августа 2020 – 23 августа 2020;1 111 311;0,058679;
24 августа 2020 – 30 августа 2020;1 135 421;0,059519;
31 августа 2020 – 6 сентября 2020;1 000 950;0,050364;
7 сентября 2020 – 13 сентября 2020;1 156 476;0,053736;
14 сентября 2020 – 20 сентября 2020;1 245 312;0,055466;
21 сентября 2020 – 27 сентября 2020;1 216 731;0,053435;
28 сентября 2020 – 4 октября 2020;1 264 030;0,055108;
5 октября 2020 – 11 октября 2020;1 308 525;0,055655;
12 октября 2020 – 18 октября 2020;1 265 051;0,051910;
19 октября 2020 – 25 октября 2020;1 305 744;0,052257;
26 октября 2020 – 1 ноября 2020;1 590 238;0,063679;
2 ноября 2020 – 8 ноября 2020;1 626 318;0,065319;
9 ноября 2020 – 15 ноября 2020;1 484 509;0,055606;
16 ноября 2020 – 22 ноября 2020;1 556 574;0,057092;
23 ноября 2020 – 29 ноября 2020;1 585 056;0,057397;
30 ноября 2020 – 6 декабря 2020;1 500 709;0,057040;
7 декабря 2020 – 13 декабря 2020;1 482 262;0,057258;
14 декабря 2020 – 20 декабря 2020;1 482 744;0,057635;
