Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «похороны», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
2 марта 2020 – 8 марта 2020;165 560;0,0077;
9 марта 2020 – 15 марта 2020;171 956;0,0078;
16 марта 2020 – 22 марта 2020;166 901;0,0074;
23 марта 2020 – 29 марта 2020;159 637;0,0072;
30 марта 2020 – 5 апреля 2020;172 663;0,0073;
6 апреля 2020 – 12 апреля 2020;200 429;0,0071;
13 апреля 2020 – 19 апреля 2020;194 430;0,0068;
20 апреля 2020 – 26 апреля 2020;204 272;0,0071;
27 апреля 2020 – 3 мая 2020;209 494;0,0080;
4 мая 2020 – 10 мая 2020;184 202;0,0080;
11 мая 2020 – 17 мая 2020;180 983;0,0069;
18 мая 2020 – 24 мая 2020;184 827;0,0071;
25 мая 2020 – 31 мая 2020;172 975;0,0075;
1 июня 2020 – 7 июня 2020;234 422;0,0107;
8 июня 2020 – 14 июня 2020;253 645;0,0125;
15 июня 2020 – 21 июня 2020;197 444;0,0096;
22 июня 2020 – 28 июня 2020;183 798;0,0092;
29 июня 2020 – 5 июля 2020;206 591;0,0106;
6 июля 2020 – 12 июля 2020;179 248;0,0095;
13 июля 2020 – 19 июля 2020;164 164;0,0087;
20 июля 2020 – 26 июля 2020;172 173;0,0091;
27 июля 2020 – 2 августа 2020;161 637;0,0086;
3 августа 2020 – 9 августа 2020;148 169;0,0079;
10 августа 2020 – 16 августа 2020;165 314;0,0087;
17 августа 2020 – 23 августа 2020;346 650;0,0183;
24 августа 2020 – 30 августа 2020;167 238;0,0087;
31 августа 2020 – 6 сентября 2020;344 682;0,0173;
7 сентября 2020 – 13 сентября 2020;216 626;0,0100;
14 сентября 2020 – 20 сентября 2020;192 057;0,0085;
21 сентября 2020 – 27 сентября 2020;193 398;0,0084;
28 сентября 2020 – 4 октября 2020;211 188;0,0092;
5 октября 2020 – 11 октября 2020;185 436;0,0078;
12 октября 2020 – 18 октября 2020;182 833;0,0075;
19 октября 2020 – 25 октября 2020;260 856;0,0104;
26 октября 2020 – 1 ноября 2020;217 365;0,0087;
2 ноября 2020 – 8 ноября 2020;223 010;0,0089;
9 ноября 2020 – 15 ноября 2020;340 849;0,0127;
16 ноября 2020 – 22 ноября 2020;315 291;0,0115;
23 ноября 2020 – 29 ноября 2020;237 324;0,0085;
30 ноября 2020 – 6 декабря 2020;202 873;0,0077;
7 декабря 2020 – 13 декабря 2020;214 598;0,0082;
14 декабря 2020 – 20 декабря 2020;251 036;0,0097;
21 декабря 2020 – 27 декабря 2020;188 099;0,0076;
28 декабря 2020 – 3 января 2021;160 211;0,0080;
4 января 2021 – 10 января 2021;200 752;0,0094;
11 января 2021 – 17 января 2021;278 417;0,0113;
18 января 2021 – 24 января 2021;263 192;0,0106;
25 января 2021 – 31 января 2021;258 005;0,0104;
1 февраля 2021 – 7 февраля 2021;316 037;0,0129;
8 февраля 2021 – 14 февраля 2021;240 100;0,0095;
15 февраля 2021 – 21 февраля 2021;244 588;0,0096;
22 февраля 2021 – 28 февраля 2021;220 707;0,0090;
1 марта 2021 – 7 марта 2021;187 270;0,0077;
8 марта 2021 – 14 марта 2021;198 885;0,0081;
15 марта 2021 – 21 марта 2021;226 034;0,0090;
22 марта 2021 – 28 марта 2021;191 529;0,0080;
29 марта 2021 – 4 апреля 2021;192 293;0,0078;
5 апреля 2021 – 11 апреля 2021;241 119;0,0095;
12 апреля 2021 – 18 апреля 2021;448 006;0,0180;
19 апреля 2021 – 25 апреля 2021;303 400;0,0120;
26 апреля 2021 – 2 мая 2021;189 355;0,0079;
3 мая 2021 – 9 мая 2021;207 057;0,0095;
10 мая 2021 – 16 мая 2021;333 382;0,0140;
17 мая 2021 – 23 мая 2021;191 609;0,0078;
24 мая 2021 – 30 мая 2021;180 233;0,0076;
31 мая 2021 – 6 июня 2021;157 641;0,0067;
7 июня 2021 – 13 июня 2021;186 230;0,0079;
14 июня 2021 – 20 июня 2021;171 690;0,0076;
21 июня 2021 – 27 июня 2021;172 662;0,0076;
28 июня 2021 – 4 июля 2021;204 644;0,0091;
5 июля 2021 – 11 июля 2021;413 490;0,0190;
12 июля 2021 – 18 июля 2021;236 137;0,0109;
19 июля 2021 – 25 июля 2021;213 172;0,0097;
26 июля 2021 – 1 августа 2021;193 393;0,0087;
2 августа 2021 – 8 августа 2021;184 241;0,0082;
9 августа 2021 – 15 августа 2021;188 069;0,0084;
16 августа 2021 – 22 августа 2021;187 087;0,0083;
23 августа 2021 – 29 августа 2021;199 979;0,0087;
30 августа 2021 – 5 сентября 2021;170 973;0,0072;
6 сентября 2021 – 12 сентября 2021;281 105;0,0117;
13 сентября 2021 – 19 сентября 2021;216 648;0,0086;
20 сентября 2021 – 26 сентября 2021;213 800;0,0083;
27 сентября 2021 – 3 октября 2021;194 162;0,0077;
4 октября 2021 – 10 октября 2021;207 010;0,0082;
11 октября 2021 – 17 октября 2021;212 433;0,0081;
18 октября 2021 – 24 октября 2021;231 950;0,0087;
25 октября 2021 – 31 октября 2021;228 003;0,0089;
1 ноября 2021 – 7 ноября 2021;261 920;0,0106;
8 ноября 2021 – 14 ноября 2021;229 082;0,0084;
15 ноября 2021 – 21 ноября 2021;245 831;0,0089;
22 ноября 2021 – 28 ноября 2021;353 778;0,0128;
29 ноября 2021 – 5 декабря 2021;530 450;0,0195;
6 декабря 2021 – 12 декабря 2021;262 286;0,0095;
13 декабря 2021 – 19 декабря 2021;227 117;0,0082;
20 декабря 2021 – 26 декабря 2021;206 320;0,0075;
27 декабря 2021 – 2 января 2022;185 503;0,0081;
3 января 2022 – 9 января 2022;284 648;0,0121;
10 января 2022 – 16 января 2022;244 906;0,0089;
17 января 2022 – 23 января 2022;313 204;0,0110;
24 января 2022 – 30 января 2022;421 345;0,0145;
31 января 2022 – 6 февраля 2022;518 116;0,0175;
7 февраля 2022 – 13 февраля 2022;342 455;0,0113;
14 февраля 2022 – 20 февраля 2022;413 090;0,0140;
21 февраля 2022 – 27 февраля 2022;315 396;0,0111;
28 февраля 2022 – 6 марта 2022;325 756;0,0113;
7 марта 2022 – 13 марта 2022;306 917;0,0110;
14 марта 2022 – 20 марта 2022;309 407;0,0106;
21 марта 2022 – 27 марта 2022;335 543;0,0118;
28 марта 2022 – 3 апреля 2022;285 891;0,0100;
4 апреля 2022 – 10 апреля 2022;1 124 437;0,0395;
11 апреля 2022 – 17 апреля 2022;368 044;0,0131;
18 апреля 2022 – 24 апреля 2022;288 548;0,0104;
25 апреля 2022 – 1 мая 2022;276 711;0,0104;
2 мая 2022 – 8 мая 2022;255 322;0,0102;
9 мая 2022 – 15 мая 2022;261 848;0,0097;
16 мая 2022 – 22 мая 2022;278 974;0,0098;
23 мая 2022 – 29 мая 2022;247 964;0,0090;
30 мая 2022 – 5 июня 2022;249 862;0,0098;
6 июня 2022 – 12 июня 2022;235 258;0,0095;
13 июня 2022 – 19 июня 2022;204 858;0,0083;
20 июня 2022 – 26 июня 2022;1 614 517;0,0635;
27 июня 2022 – 3 июля 2022;1 801 623;0,0755;
4 июля 2022 – 10 июля 2022;335 931;0,0144;
11 июля 2022 – 17 июля 2022;255 780;0,0108;
18 июля 2022 – 24 июля 2022;240 692;0,0102;
25 июля 2022 – 31 июля 2022;216 248;0,0091;
1 августа 2022 – 7 августа 2022;217 538;0,0092;
8 августа 2022 – 14 августа 2022;195 997;0,0082;
15 августа 2022 – 21 августа 2022;210 169;0,0086;
22 августа 2022 – 28 августа 2022;306 682;0,0125;
29 августа 2022 – 4 сентября 2022;396 116;0,0157;
5 сентября 2022 – 11 сентября 2022;348 401;0,0128;
12 сентября 2022 – 18 сентября 2022;401 966;0,0147;
19 сентября 2022 – 25 сентября 2022;559 913;0,0201;
26 сентября 2022 – 2 октября 2022;398 412;0,0146;
3 октября 2022 – 9 октября 2022;285 481;0,0104;
10 октября 2022 – 16 октября 2022;207 134;0,0075;
17 октября 2022 – 23 октября 2022;219 784;0,0075;
24 октября 2022 – 30 октября 2022;211 033;0,0074;
31 октября 2022 – 6 ноября 2022;222 322;0,0080;
7 ноября 2022 – 13 ноября 2022;304 669;0,0106;
14 ноября 2022 – 20 ноября 2022;243 328;0,0081;
21 ноября 2022 – 27 ноября 2022;205 591;0,0068;
28 ноября 2022 – 4 декабря 2022;223 144;0,0075;
5 декабря 2022 – 11 декабря 2022;199 219;0,0067;
12 декабря 2022 – 18 декабря 2022;223 459;0,0076;
