Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «шашлыки», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
2 марта 2020 – 8 марта 2020;362 055;0,0169;
9 марта 2020 – 15 марта 2020;228 216;0,0104;
16 марта 2020 – 22 марта 2020;220 854;0,0099;
23 марта 2020 – 29 марта 2020;296 269;0,0133;
30 марта 2020 – 5 апреля 2020;287 532;0,0122;
6 апреля 2020 – 12 апреля 2020;331 206;0,0118;
13 апреля 2020 – 19 апреля 2020;445 276;0,0156;
20 апреля 2020 – 26 апреля 2020;398 970;0,0139;
27 апреля 2020 – 3 мая 2020;808 892;0,0312;
4 мая 2020 – 10 мая 2020;741 904;0,0322;
11 мая 2020 – 17 мая 2020;449 993;0,0172;
18 мая 2020 – 24 мая 2020;461 720;0,0178;
25 мая 2020 – 31 мая 2020;498 942;0,0218;
1 июня 2020 – 7 июня 2020;488 457;0,0223;
8 июня 2020 – 14 июня 2020;574 740;0,0284;
15 июня 2020 – 21 июня 2020;475 860;0,0232;
22 июня 2020 – 28 июня 2020;482 044;0,0241;
29 июня 2020 – 5 июля 2020;449 686;0,0230;
6 июля 2020 – 12 июля 2020;431 816;0,0229;
13 июля 2020 – 19 июля 2020;407 381;0,0217;
20 июля 2020 – 26 июля 2020;387 408;0,0205;
27 июля 2020 – 2 августа 2020;381 230;0,0203;
3 августа 2020 – 9 августа 2020;392 742;0,0210;
10 августа 2020 – 16 августа 2020;324 381;0,0171;
17 августа 2020 – 23 августа 2020;334 779;0,0176;
24 августа 2020 – 30 августа 2020;306 200;0,0160;
31 августа 2020 – 6 сентября 2020;274 144;0,0137;
7 сентября 2020 – 13 сентября 2020;257 320;0,0119;
14 сентября 2020 – 20 сентября 2020;241 130;0,0107;
21 сентября 2020 – 27 сентября 2020;290 283;0,0127;
28 сентября 2020 – 4 октября 2020;259 017;0,0112;
5 октября 2020 – 11 октября 2020;237 588;0,0101;
12 октября 2020 – 18 октября 2020;227 142;0,0093;
19 октября 2020 – 25 октября 2020;213 833;0,0085;
26 октября 2020 – 1 ноября 2020;218 222;0,0087;
2 ноября 2020 – 8 ноября 2020;228 991;0,0091;
9 ноября 2020 – 15 ноября 2020;208 998;0,0078;
16 ноября 2020 – 22 ноября 2020;205 805;0,0075;
23 ноября 2020 – 29 ноября 2020;206 712;0,0074;
30 ноября 2020 – 6 декабря 2020;187 735;0,0071;
7 декабря 2020 – 13 декабря 2020;213 641;0,0082;
14 декабря 2020 – 20 декабря 2020;206 600;0,0080;
21 декабря 2020 – 27 декабря 2020;232 414;0,0094;
28 декабря 2020 – 3 января 2021;362 226;0,0182;
4 января 2021 – 10 января 2021;281 432;0,0131;
11 января 2021 – 17 января 2021;201 299;0,0081;
18 января 2021 – 24 января 2021;209 386;0,0084;
25 января 2021 – 31 января 2021;227 296;0,0091;
1 февраля 2021 – 7 февраля 2021;223 657;0,0091;
8 февраля 2021 – 14 февраля 2021;242 968;0,0096;
15 февраля 2021 – 21 февраля 2021;283 648;0,0111;
22 февраля 2021 – 28 февраля 2021;300 103;0,0123;
1 марта 2021 – 7 марта 2021;341 976;0,0142;
8 марта 2021 – 14 марта 2021;296 577;0,0120;
15 марта 2021 – 21 марта 2021;255 914;0,0102;
22 марта 2021 – 28 марта 2021;278 989;0,0117;
29 марта 2021 – 4 апреля 2021;287 143;0,0117;
5 апреля 2021 – 11 апреля 2021;340 472;0,0134;
12 апреля 2021 – 18 апреля 2021;415 794;0,0167;
19 апреля 2021 – 25 апреля 2021;386 913;0,0153;
26 апреля 2021 – 2 мая 2021;835 648;0,0352;
3 мая 2021 – 9 мая 2021;790 505;0,0363;
10 мая 2021 – 16 мая 2021;494 834;0,0209;
17 мая 2021 – 23 мая 2021;463 125;0,0188;
24 мая 2021 – 30 мая 2021;445 678;0,0189;
31 мая 2021 – 6 июня 2021;475 627;0,0204;
7 июня 2021 – 13 июня 2021;535 704;0,0227;
14 июня 2021 – 20 июня 2021;518 694;0,0230;
21 июня 2021 – 27 июня 2021;459 625;0,0203;
28 июня 2021 – 4 июля 2021;438 504;0,0196;
5 июля 2021 – 11 июля 2021;469 323;0,0216;
12 июля 2021 – 18 июля 2021;451 801;0,0209;
19 июля 2021 – 25 июля 2021;453 987;0,0207;
26 июля 2021 – 1 августа 2021;421 044;0,0190;
2 августа 2021 – 8 августа 2021;406 674;0,0183;
9 августа 2021 – 15 августа 2021;394 023;0,0177;
16 августа 2021 – 22 августа 2021;382 347;0,0169;
23 августа 2021 – 29 августа 2021;363 214;0,0158;
30 августа 2021 – 5 сентября 2021;304 260;0,0129;
6 сентября 2021 – 12 сентября 2021;285 046;0,0119;
