Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «сделать аборт», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
2 марта 2020 – 8 марта 2020;11 126;0,00051;
9 марта 2020 – 15 марта 2020;12 018;0,00054;
16 марта 2020 – 22 марта 2020;11 573;0,00051;
23 марта 2020 – 29 марта 2020;11 920;0,00053;
30 марта 2020 – 5 апреля 2020;13 460;0,00057;
6 апреля 2020 – 12 апреля 2020;13 537;0,00048;
13 апреля 2020 – 19 апреля 2020;13 926;0,00048;
20 апреля 2020 – 26 апреля 2020;14 325;0,00050;
27 апреля 2020 – 3 мая 2020;13 599;0,00052;
4 мая 2020 – 10 мая 2020;13 224;0,00057;
11 мая 2020 – 17 мая 2020;12 550;0,00048;
18 мая 2020 – 24 мая 2020;12 328;0,00047;
25 мая 2020 – 31 мая 2020;11 757;0,00051;
1 июня 2020 – 7 июня 2020;12 246;0,00055;
8 июня 2020 – 14 июня 2020;11 142;0,00055;
15 июня 2020 – 21 июня 2020;11 459;0,00056;
22 июня 2020 – 28 июня 2020;11 178;0,00056;
29 июня 2020 – 5 июля 2020;11 263;0,00057;
6 июля 2020 – 12 июля 2020;10 976;0,00058;
13 июля 2020 – 19 июля 2020;10 668;0,00056;
20 июля 2020 – 26 июля 2020;11 127;0,00059;
27 июля 2020 – 2 августа 2020;10 634;0,00056;
3 августа 2020 – 9 августа 2020;11 121;0,00059;
10 августа 2020 – 16 августа 2020;10 649;0,00056;
17 августа 2020 – 23 августа 2020;10 608;0,00056;
24 августа 2020 – 30 августа 2020;10 482;0,00054;
31 августа 2020 – 6 сентября 2020;10 016;0,00050;
7 сентября 2020 – 13 сентября 2020;10 718;0,00049;
14 сентября 2020 – 20 сентября 2020;11 240;0,00050;
21 сентября 2020 – 27 сентября 2020;11 097;0,00048;
28 сентября 2020 – 4 октября 2020;11 021;0,00048;
5 октября 2020 – 11 октября 2020;11 825;0,00050;
12 октября 2020 – 18 октября 2020;11 963;0,00049;
19 октября 2020 – 25 октября 2020;12 815;0,00051;
26 октября 2020 – 1 ноября 2020;13 176;0,00052;
2 ноября 2020 – 8 ноября 2020;13 402;0,00053;
9 ноября 2020 – 15 ноября 2020;13 094;0,00049;
16 ноября 2020 – 22 ноября 2020;13 419;0,00049;
23 ноября 2020 – 29 ноября 2020;12 777;0,00046;
30 ноября 2020 – 6 декабря 2020;13 049;0,00049;
7 декабря 2020 – 13 декабря 2020;12 756;0,00049;
14 декабря 2020 – 20 декабря 2020;12 369;0,00048;
21 декабря 2020 – 27 декабря 2020;12 000;0,00048;
28 декабря 2020 – 3 января 2021;9 639;0,00048;
4 января 2021 – 10 января 2021;13 203;0,00061;
11 января 2021 – 17 января 2021;13 699;0,00055;
18 января 2021 – 24 января 2021;12 842;0,00051;
25 января 2021 – 31 января 2021;13 318;0,00053;
1 февраля 2021 – 7 февраля 2021;12 202;0,00050;
8 февраля 2021 – 14 февраля 2021;11 727;0,00046;
15 февраля 2021 – 21 февраля 2021;11 334;0,00044;
22 февраля 2021 – 28 февраля 2021;11 117;0,00045;
1 марта 2021 – 7 марта 2021;11 821;0,00049;
8 марта 2021 – 14 марта 2021;12 479;0,00050;
15 марта 2021 – 21 марта 2021;12 865;0,00051;
22 марта 2021 – 28 марта 2021;12 315;0,00051;
29 марта 2021 – 4 апреля 2021;12 807;0,00052;
5 апреля 2021 – 11 апреля 2021;11 919;0,00047;
12 апреля 2021 – 18 апреля 2021;11 667;0,00046;
19 апреля 2021 – 25 апреля 2021;12 231;0,00048;
26 апреля 2021 – 2 мая 2021;11 295;0,00047;
3 мая 2021 – 9 мая 2021;12 057;0,00055;
10 мая 2021 – 16 мая 2021;11 496;0,00048;
17 мая 2021 – 23 мая 2021;11 414;0,00046;
24 мая 2021 – 30 мая 2021;11 459;0,00048;
31 мая 2021 – 6 июня 2021;10 664;0,00045;
7 июня 2021 – 13 июня 2021;11 339;0,00048;
14 июня 2021 – 20 июня 2021;10 882;0,00048;
21 июня 2021 – 27 июня 2021;11 312;0,00049;
28 июня 2021 – 4 июля 2021;11 676;0,00052;
5 июля 2021 – 11 июля 2021;11 291;0,00052;
12 июля 2021 – 18 июля 2021;11 531;0,00053;
19 июля 2021 – 25 июля 2021;13 022;0,00059;
26 июля 2021 – 1 августа 2021;12 267;0,00055;
2 августа 2021 – 8 августа 2021;12 219;0,00055;
9 августа 2021 – 15 августа 2021;11 569;0,00051;
16 августа 2021 – 22 августа 2021;11 759;0,00052;
23 августа 2021 – 29 августа 2021;11 608;0,00050;
30 августа 2021 – 5 сентября 2021;10 706;0,00045;
