Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «бессонница», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
2 марта 2020 – 8 марта 2020;74 696;0,0034;
9 марта 2020 – 15 марта 2020;73 771;0,0033;
16 марта 2020 – 22 марта 2020;63 582;0,0028;
23 марта 2020 – 29 марта 2020;65 373;0,0029;
30 марта 2020 – 5 апреля 2020;78 640;0,0033;
6 апреля 2020 – 12 апреля 2020;91 268;0,0032;
13 апреля 2020 – 19 апреля 2020;87 302;0,0030;
20 апреля 2020 – 26 апреля 2020;84 324;0,0029;
27 апреля 2020 – 3 мая 2020;78 645;0,0030;
4 мая 2020 – 10 мая 2020;75 450;0,0032;
11 мая 2020 – 17 мая 2020;73 627;0,0028;
18 мая 2020 – 24 мая 2020;72 715;0,0028;
25 мая 2020 – 31 мая 2020;70 105;0,0030;
1 июня 2020 – 7 июня 2020;70 353;0,0032;
8 июня 2020 – 14 июня 2020;64 258;0,0031;
15 июня 2020 – 21 июня 2020;74 997;0,0036;
22 июня 2020 – 28 июня 2020;61 664;0,0030;
29 июня 2020 – 5 июля 2020;59 964;0,0030;
6 июля 2020 – 12 июля 2020;58 216;0,0030;
13 июля 2020 – 19 июля 2020;57 443;0,0030;
20 июля 2020 – 26 июля 2020;57 616;0,0030;
27 июля 2020 – 2 августа 2020;60 222;0,0032;
3 августа 2020 – 9 августа 2020;62 529;0,0033;
10 августа 2020 – 16 августа 2020;61 523;0,0032;
17 августа 2020 – 23 августа 2020;61 345;0,0032;
24 августа 2020 – 30 августа 2020;59 427;0,0031;
31 августа 2020 – 6 сентября 2020;57 275;0,0028;
7 сентября 2020 – 13 сентября 2020;60 191;0,0027;
14 сентября 2020 – 20 сентября 2020;60 340;0,0026;
21 сентября 2020 – 27 сентября 2020;60 956;0,0026;
28 сентября 2020 – 4 октября 2020;61 343;0,0026;
5 октября 2020 – 11 октября 2020;67 429;0,0028;
12 октября 2020 – 18 октября 2020;73 293;0,0030;
19 октября 2020 – 25 октября 2020;75 314;0,0030;
26 октября 2020 – 1 ноября 2020;82 517;0,0033;
2 ноября 2020 – 8 ноября 2020;93 222;0,0037;
9 ноября 2020 – 15 ноября 2020;95 379;0,0035;
16 ноября 2020 – 22 ноября 2020;89 053;0,0032;
23 ноября 2020 – 29 ноября 2020;96 977;0,0035;
30 ноября 2020 – 6 декабря 2020;96 478;0,0036;
7 декабря 2020 – 13 декабря 2020;92 859;0,0035;
14 декабря 2020 – 20 декабря 2020;98 955;0,0038;
21 декабря 2020 – 27 декабря 2020;91 922;0,0037;
28 декабря 2020 – 3 января 2021;71 324;0,0036;
4 января 2021 – 10 января 2021;119 796;0,0056;
11 января 2021 – 17 января 2021;122 795;0,0049;
18 января 2021 – 24 января 2021;93 662;0,0037;
25 января 2021 – 31 января 2021;96 775;0,0039;
1 февраля 2021 – 7 февраля 2021;91 647;0,0037;
8 февраля 2021 – 14 февраля 2021;81 967;0,0032;
15 февраля 2021 – 21 февраля 2021;75 912;0,0029;
22 февраля 2021 – 28 февраля 2021;74 245;0,0030;
1 марта 2021 – 7 марта 2021;77 630;0,0032;
8 марта 2021 – 14 марта 2021;72 487;0,0029;
15 марта 2021 – 21 марта 2021;76 662;0,0030;
22 марта 2021 – 28 марта 2021;73 843;0,0031;
29 марта 2021 – 4 апреля 2021;70 180;0,0028;
5 апреля 2021 – 11 апреля 2021;70 960;0,0028;
12 апреля 2021 – 18 апреля 2021;67 782;0,0027;
19 апреля 2021 – 25 апреля 2021;64 004;0,0025;
26 апреля 2021 – 2 мая 2021;63 478;0,0026;
3 мая 2021 – 9 мая 2021;62 918;0,0028;
10 мая 2021 – 16 мая 2021;63 060;0,0026;
17 мая 2021 – 23 мая 2021;60 034;0,0024;
24 мая 2021 – 30 мая 2021;61 141;0,0025;
31 мая 2021 – 6 июня 2021;62 725;0,0027;
7 июня 2021 – 13 июня 2021;64 823;0,0027;
14 июня 2021 – 20 июня 2021;66 441;0,0029;
21 июня 2021 – 27 июня 2021;61 138;0,0027;
28 июня 2021 – 4 июля 2021;62 135;0,0027;
5 июля 2021 – 11 июля 2021;63 225;0,0029;
12 июля 2021 – 18 июля 2021;68 395;0,0031;
19 июля 2021 – 25 июля 2021;71 387;0,0032;
26 июля 2021 – 1 августа 2021;71 649;0,0032;
2 августа 2021 – 8 августа 2021;72 594;0,0032;
9 августа 2021 – 15 августа 2021;72 528;0,0032;
16 августа 2021 – 22 августа 2021;73 821;0,0032;
23 августа 2021 – 29 августа 2021;69 987;0,0030;
30 августа 2021 – 5 сентября 2021;64 776;0,0027;
6 сентября 2021 – 12 сентября 2021;65 877;0,0027;
13 сентября 2021 – 19 сентября 2021;81 988;0,0032;
20 сентября 2021 – 26 сентября 2021;74 909;0,0029;
27 сентября 2021 – 3 октября 2021;77 379;0,0030;
4 октября 2021 – 10 октября 2021;77 502;0,0030;
11 октября 2021 – 17 октября 2021;94 738;0,0036;
18 октября 2021 – 24 октября 2021;90 216;0,0034;
25 октября 2021 – 31 октября 2021;90 562;0,0035;
1 ноября 2021 – 7 ноября 2021;103 797;0,0042;
8 ноября 2021 – 14 ноября 2021;115 918;0,0042;
15 ноября 2021 – 21 ноября 2021;102 748;0,0037;
22 ноября 2021 – 28 ноября 2021;106 553;0,0038;
29 ноября 2021 – 5 декабря 2021;106 106;0,0039;
6 декабря 2021 – 12 декабря 2021;99 028;0,0036;
13 декабря 2021 – 19 декабря 2021;100 224;0,0036;
20 декабря 2021 – 26 декабря 2021;101 188;0,0037;
27 декабря 2021 – 2 января 2022;75 929;0,0033;
3 января 2022 – 9 января 2022;117 966;0,0050;
10 января 2022 – 16 января 2022;133 039;0,0048;
17 января 2022 – 23 января 2022;112 371;0,0039;
24 января 2022 – 30 января 2022;119 307;0,0041;
31 января 2022 – 6 февраля 2022;118 778;0,0040;
7 февраля 2022 – 13 февраля 2022;131 140;0,0043;
14 февраля 2022 – 20 февраля 2022;112 515;0,0038;
21 февраля 2022 – 27 февраля 2022;83 562;0,0029;
28 февраля 2022 – 6 марта 2022;76 350;0,0026;
7 марта 2022 – 13 марта 2022;75 119;0,0026;
14 марта 2022 – 20 марта 2022;80 081;0,0027;
21 марта 2022 – 27 марта 2022;78 666;0,0027;
28 марта 2022 – 3 апреля 2022;80 068;0,0028;
4 апреля 2022 – 10 апреля 2022;81 770;0,0028;
11 апреля 2022 – 17 апреля 2022;75 639;0,0027;
18 апреля 2022 – 24 апреля 2022;74 708;0,0027;
25 апреля 2022 – 1 мая 2022;67 928;0,0025;
2 мая 2022 – 8 мая 2022;63 757;0,0025;
9 мая 2022 – 15 мая 2022;68 805;0,0025;
16 мая 2022 – 22 мая 2022;69 133;0,0024;
23 мая 2022 – 29 мая 2022;73 041;0,0026;
30 мая 2022 – 5 июня 2022;69 356;0,0027;
6 июня 2022 – 12 июня 2022;69 022;0,0028;
13 июня 2022 – 19 июня 2022;72 239;0,0029;
20 июня 2022 – 26 июня 2022;87 943;0,0034;
27 июня 2022 – 3 июля 2022;78 385;0,0032;
4 июля 2022 – 10 июля 2022;77 710;0,0033;
11 июля 2022 – 17 июля 2022;87 046;0,0036;
18 июля 2022 – 24 июля 2022;76 553;0,0032;
25 июля 2022 – 31 июля 2022;75 928;0,0032;
1 августа 2022 – 7 августа 2022;72 245;0,0030;
8 августа 2022 – 14 августа 2022;73 961;0,0031;
15 августа 2022 – 21 августа 2022;73 857;0,0030;
22 августа 2022 – 28 августа 2022;74 122;0,0030;
29 августа 2022 – 4 сентября 2022;72 627;0,0028;
5 сентября 2022 – 11 сентября 2022;64 431;0,0023;
12 сентября 2022 – 18 сентября 2022;71 265;0,0026;
19 сентября 2022 – 25 сентября 2022;70 165;0,0025;
26 сентября 2022 – 2 октября 2022;65 518;0,0024;
3 октября 2022 – 9 октября 2022;75 800;0,0027;
10 октября 2022 – 16 октября 2022;80 038;0,0029;
17 октября 2022 – 23 октября 2022;85 142;0,0029;
24 октября 2022 – 30 октября 2022;89 682;0,0031;
31 октября 2022 – 6 ноября 2022;111 267;0,0040;
7 ноября 2022 – 13 ноября 2022;118 502;0,0041;
14 ноября 2022 – 20 ноября 2022;107 150;0,0035;
21 ноября 2022 – 27 ноября 2022;95 314;0,0031;
28 ноября 2022 – 4 декабря 2022;93 737;0,0031;
5 декабря 2022 – 11 декабря 2022;91 119;0,0030;
12 декабря 2022 – 18 декабря 2022;98 119;0,0033;
19 декабря 2022 – 25 декабря 2022;99 263;0,0034;
26 декабря 2022 – 1 января 2023;77 169;0,0032;
2 января 2023 – 8 января 2023;103 240;0,0042;
9 января 2023 – 15 января 2023;116 314;0,0041;
16 января 2023 – 22 января 2023;172 989;0,0059;
23 января 2023 – 29 января 2023;113 472;0,0039;
30 января 2023 – 5 февраля 2023;111 220;0,0038;
6 февраля 2023 – 12 февраля 2023;98 682;0,0034;
13 февраля 2023 – 19 февраля 2023;97 323;0,0033;
20 февраля 2023 – 26 февраля 2023;95 262;0,0035;
27 февраля 2023 – 5 марта 2023;102 528;0,0035;
6 марта 2023 – 12 марта 2023;91 664;0,0033;
13 марта 2023 – 19 марта 2023;96 795;0,0033;
20 марта 2023 – 26 марта 2023;96 594;0,0035;
27 марта 2023 – 2 апреля 2023;88 814;0,0032;
3 апреля 2023 – 9 апреля 2023;83 603;0,0030;
10 апреля 2023 – 16 апреля 2023;79 359;0,0029;
17 апреля 2023 – 23 апреля 2023;78 709;0,0029;
24 апреля 2023 – 30 апреля 2023;73 575;0,0027;
1 мая 2023 – 7 мая 2023;69 585;0,0027;
8 мая 2023 – 14 мая 2023;71 490;0,0028;
15 мая 2023 – 21 мая 2023;76 683;0,0029;
22 мая 2023 – 28 мая 2023;74 708;0,0029;
29 мая 2023 – 4 июня 2023;78 142;0,0032;
5 июня 2023 – 11 июня 2023;75 661;0,0031;
12 июня 2023 – 18 июня 2023;79 616;0,0034;
19 июня 2023 – 25 июня 2023;77 432;0,0032;
26 июня 2023 – 2 июля 2023;82 891;0,0035;
3 июля 2023 – 9 июля 2023;86 410;0,0038;
10 июля 2023 – 16 июля 2023;86 659;0,0037;
17 июля 2023 – 23 июля 2023;80 432;0,0035;
24 июля 2023 – 30 июля 2023;79 756;0,0034;
31 июля 2023 – 6 августа 2023;79 062;0,0035;
7 августа 2023 – 13 августа 2023;74 466;0,0032;
14 августа 2023 – 20 августа 2023;74 508;0,0033;
21 августа 2023 – 27 августа 2023;68 941;0,0030;
28 августа 2023 – 3 сентября 2023;69 687;0,0031;
4 сентября 2023 – 10 сентября 2023;67 175;0,0027;
11 сентября 2023 – 17 сентября 2023;70 468;0,0027;
18 сентября 2023 – 24 сентября 2023;71 412;0,0027;
25 сентября 2023 – 1 октября 2023;72 381;0,0027;
2 октября 2023 – 8 октября 2023;71 716;0,0027;
9 октября 2023 – 15 октября 2023;74 364;0,0027;
16 октября 2023 – 22 октября 2023;81 289;0,0029;
23 октября 2023 – 29 октября 2023;84 772;0,0031;
30 октября 2023 – 5 ноября 2023;88 778;0,0034;
6 ноября 2023 – 12 ноября 2023;102 318;0,0038;
13 ноября 2023 – 19 ноября 2023;103 281;0,0037;
20 ноября 2023 – 26 ноября 2023;97 513;0,0035;
27 ноября 2023 – 3 декабря 2023;99 714;0,0035;
4 декабря 2023 – 10 декабря 2023;94 241;0,0033;
11 декабря 2023 – 17 декабря 2023;93 999;0,0033;
18 декабря 2023 – 24 декабря 2023;101 320;0,0037;
25 декабря 2023 – 31 декабря 2023;87 717;0,0036;
1 января 2024 – 7 января 2024;93 210;0,0040;
8 января 2024 – 14 января 2024;131 793;0,0048;
15 января 2024 – 21 января 2024;114 135;0,0040;
22 января 2024 – 28 января 2024;108 580;0,0038;
29 января 2024 – 4 февраля 2024;112 524;0,0039;
5 февраля 2024 – 11 февраля 2024;110 425;0,0038;
12 февраля 2024 – 18 февраля 2024;98 377;0,0034;
19 февраля 2024 – 25 февраля 2024;94 528;0,0034;
