Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «последствия аборта», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
23 марта 2020 – 29 марта 2020;1 046;0,000047;
30 марта 2020 – 5 апреля 2020;1 047;0,000044;
6 апреля 2020 – 12 апреля 2020;1 336;0,000047;
13 апреля 2020 – 19 апреля 2020;1 442;0,000050;
20 апреля 2020 – 26 апреля 2020;1 498;0,000052;
27 апреля 2020 – 3 мая 2020;1 422;0,000054;
4 мая 2020 – 10 мая 2020;1 083;0,000047;
11 мая 2020 – 17 мая 2020;1 492;0,000057;
18 мая 2020 – 24 мая 2020;1 244;0,000048;
25 мая 2020 – 31 мая 2020;1 098;0,000048;
1 июня 2020 – 7 июня 2020;1 077;0,000049;
8 июня 2020 – 14 июня 2020;957;0,000047;
15 июня 2020 – 21 июня 2020;966;0,000047;
22 июня 2020 – 28 июня 2020;1 031;0,000051;
29 июня 2020 – 5 июля 2020;925;0,000047;
6 июля 2020 – 12 июля 2020;728;0,000038;
13 июля 2020 – 19 июля 2020;767;0,000040;
20 июля 2020 – 26 июля 2020;898;0,000047;
27 июля 2020 – 2 августа 2020;756;0,000040;
3 августа 2020 – 9 августа 2020;816;0,000043;
10 августа 2020 – 16 августа 2020;790;0,000041;
17 августа 2020 – 23 августа 2020;727;0,000038;
24 августа 2020 – 30 августа 2020;802;0,000042;
31 августа 2020 – 6 сентября 2020;750;0,000037;
7 сентября 2020 – 13 сентября 2020;869;0,000040;
14 сентября 2020 – 20 сентября 2020;854;0,000038;
21 сентября 2020 – 27 сентября 2020;834;0,000036;
28 сентября 2020 – 4 октября 2020;946;0,000041;
5 октября 2020 – 11 октября 2020;1 014;0,000043;
12 октября 2020 – 18 октября 2020;1 121;0,000045;
19 октября 2020 – 25 октября 2020;1 076;0,000043;
26 октября 2020 – 1 ноября 2020;1 172;0,000046;
2 ноября 2020 – 8 ноября 2020;1 058;0,000042;
9 ноября 2020 – 15 ноября 2020;1 286;0,000048;
16 ноября 2020 – 22 ноября 2020;1 231;0,000045;
23 ноября 2020 – 29 ноября 2020;1 197;0,000043;
30 ноября 2020 – 6 декабря 2020;1 261;0,000047;
7 декабря 2020 – 13 декабря 2020;1 254;0,000048;
14 декабря 2020 – 20 декабря 2020;1 379;0,000053;
21 декабря 2020 – 27 декабря 2020;1 146;0,000046;
28 декабря 2020 – 3 января 2021;716;0,000036;
4 января 2021 – 10 января 2021;1 009;0,000047;
11 января 2021 – 17 января 2021;1 063;0,000043;
18 января 2021 – 24 января 2021;1 160;0,000046;
25 января 2021 – 31 января 2021;1 172;0,000047;
1 февраля 2021 – 7 февраля 2021;1 139;0,000046;
8 февраля 2021 – 14 февраля 2021;988;0,000039;
15 февраля 2021 – 21 февраля 2021;1 131;0,000044;
22 февраля 2021 – 28 февраля 2021;1 201;0,000049;
1 марта 2021 – 7 марта 2021;1 100;0,000045;
8 марта 2021 – 14 марта 2021;1 162;0,000047;
15 марта 2021 – 21 марта 2021;1 210;0,000048;
22 марта 2021 – 28 марта 2021;1 254;0,000052;
29 марта 2021 – 4 апреля 2021;1 282;0,000052;
5 апреля 2021 – 11 апреля 2021;1 352;0,000053;
12 апреля 2021 – 18 апреля 2021;1 163;0,000046;
19 апреля 2021 – 25 апреля 2021;1 130;0,000044;
26 апреля 2021 – 2 мая 2021;1 057;0,000044;
3 мая 2021 – 9 мая 2021;952;0,000043;
