Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «помидора», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
23 марта 2020 – 29 марта 2020;623 567;0,028;
30 марта 2020 – 5 апреля 2020;689 648;0,029;
6 апреля 2020 – 12 апреля 2020;785 853;0,028;
13 апреля 2020 – 19 апреля 2020;792 376;0,027;
20 апреля 2020 – 26 апреля 2020;932 338;0,032;
27 апреля 2020 – 3 мая 2020;1 086 535;0,041;
4 мая 2020 – 10 мая 2020;1 182 180;0,051;
11 мая 2020 – 17 мая 2020;1 184 879;0,045;
18 мая 2020 – 24 мая 2020;1 205 339;0,046;
25 мая 2020 – 31 мая 2020;1 247 407;0,054;
1 июня 2020 – 7 июня 2020;1 102 623;0,050;
8 июня 2020 – 14 июня 2020;1 121 930;0,055;
15 июня 2020 – 21 июня 2020;1 110 033;0,054;
22 июня 2020 – 28 июня 2020;1 082 875;0,054;
29 июня 2020 – 5 июля 2020;1 069 376;0,054;
6 июля 2020 – 12 июля 2020;962 790;0,051;
13 июля 2020 – 19 июля 2020;997 802;0,053;
20 июля 2020 – 26 июля 2020;1 181 319;0,062;
27 июля 2020 – 2 августа 2020;1 375 275;0,073;
3 августа 2020 – 9 августа 2020;1 779 938;0,095;
10 августа 2020 – 16 августа 2020;2 412 919;0,127;
17 августа 2020 – 23 августа 2020;2 713 627;0,143;
24 августа 2020 – 30 августа 2020;2 475 097;0,129;
31 августа 2020 – 6 сентября 2020;2 234 223;0,112;
7 сентября 2020 – 13 сентября 2020;2 131 554;0,099;
14 сентября 2020 – 20 сентября 2020;1 918 269;0,085;
21 сентября 2020 – 27 сентября 2020;1 546 176;0,067;
28 сентября 2020 – 4 октября 2020;1 205 191;0,052;
5 октября 2020 – 11 октября 2020;996 775;0,042;
12 октября 2020 – 18 октября 2020;833 432;0,034;
19 октября 2020 – 25 октября 2020;667 726;0,026;
26 октября 2020 – 1 ноября 2020;582 357;0,023;
2 ноября 2020 – 8 ноября 2020;506 663;0,020;
9 ноября 2020 – 15 ноября 2020;474 288;0,017;
16 ноября 2020 – 22 ноября 2020;446 499;0,016;
23 ноября 2020 – 29 ноября 2020;417 859;0,015;
30 ноября 2020 – 6 декабря 2020;385 041;0,014;
7 декабря 2020 – 13 декабря 2020;389 535;0,015;
14 декабря 2020 – 20 декабря 2020;381 422;0,014;
21 декабря 2020 – 27 декабря 2020;412 807;0,016;
28 декабря 2020 – 3 января 2021;644 025;0,032;
4 января 2021 – 10 января 2021;465 116;0,021;
11 января 2021 – 17 января 2021;453 970;0,018;
18 января 2021 – 24 января 2021;474 897;0,019;
25 января 2021 – 31 января 2021;527 515;0,021;
1 февраля 2021 – 7 февраля 2021;541 328;0,022;
8 февраля 2021 – 14 февраля 2021;568 983;0,022;
15 февраля 2021 – 21 февраля 2021;593 060;0,023;
22 февраля 2021 – 28 февраля 2021;681 092;0,028;
1 марта 2021 – 7 марта 2021;751 456;0,031;
8 марта 2021 – 14 марта 2021;811 295;0,033;
15 марта 2021 – 21 марта 2021;893 843;0,035;
22 марта 2021 – 28 марта 2021;832 136;0,035;
29 марта 2021 – 4 апреля 2021;846 458;0,034;
5 апреля 2021 – 11 апреля 2021;814 072;0,032;
12 апреля 2021 – 18 апреля 2021;773 904;0,031;
19 апреля 2021 – 25 апреля 2021;780 361;0,030;
26 апреля 2021 – 2 мая 2021;746 966;0,031;
3 мая 2021 – 9 мая 2021;1 012 763;0,046;
10 мая 2021 – 16 мая 2021;1 148 395;0,048;
17 мая 2021 – 23 мая 2021;1 096 898;0,044;
24 мая 2021 – 30 мая 2021;1 092 888;0,046;
31 мая 2021 – 6 июня 2021;1 104 725;0,047;
7 июня 2021 – 13 июня 2021;1 103 700;0,046;
14 июня 2021 – 20 июня 2021;1 042 787;0,046;
21 июня 2021 – 27 июня 2021;1 023 321;0,045;
28 июня 2021 – 4 июля 2021;1 056 902;0,047;
5 июля 2021 – 11 июля 2021;1 094 841;0,050;
12 июля 2021 – 18 июля 2021;1 205 930;0,055;
19 июля 2021 – 25 июля 2021;1 525 093;0,069;
26 июля 2021 – 1 августа 2021;2 057 843;0,093;
2 августа 2021 – 8 августа 2021;2 622 723;0,118;
9 августа 2021 – 15 августа 2021;3 317 666;0,149;
16 августа 2021 – 22 августа 2021;3 728 551;0,165;
23 августа 2021 – 29 августа 2021;3 553 697;0,155;
30 августа 2021 – 5 сентября 2021;2 957 407;0,125;
6 сентября 2021 – 12 сентября 2021;2 338 497;0,098;
13 сентября 2021 – 19 сентября 2021;1 966 868;0,078;
20 сентября 2021 – 26 сентября 2021;1 686 382;0,065;
27 сентября 2021 – 3 октября 2021;1 220 083;0,048;
4 октября 2021 – 10 октября 2021;960 294;0,038;
11 октября 2021 – 17 октября 2021;776 723;0,029;
18 октября 2021 – 24 октября 2021;616 594;0,023;
25 октября 2021 – 31 октября 2021;525 144;0,020;
1 ноября 2021 – 7 ноября 2021;488 065;0,019;
8 ноября 2021 – 14 ноября 2021;455 852;0,016;
15 ноября 2021 – 21 ноября 2021;446 022;0,016;
22 ноября 2021 – 28 ноября 2021;427 635;0,015;
29 ноября 2021 – 5 декабря 2021;413 471;0,015;
6 декабря 2021 – 12 декабря 2021;419 806;0,015;
13 декабря 2021 – 19 декабря 2021;414 874;0,014;
20 декабря 2021 – 26 декабря 2021;422 725;0,015;
27 декабря 2021 – 2 января 2022;698 596;0,030;
3 января 2022 – 9 января 2022;510 852;0,021;
10 января 2022 – 16 января 2022;513 578;0,018;
17 января 2022 – 23 января 2022;550 509;0,019;
24 января 2022 – 30 января 2022;587 889;0,020;
31 января 2022 – 6 февраля 2022;628 127;0,021;
7 февраля 2022 – 13 февраля 2022;679 840;0,022;
14 февраля 2022 – 20 февраля 2022;690 379;0,023;
21 февраля 2022 – 27 февраля 2022;711 539;0,025;
28 февраля 2022 – 6 марта 2022;716 658;0,024;
7 марта 2022 – 13 марта 2022;911 027;0,032;
14 марта 2022 – 20 марта 2022;965 237;0,033;
21 марта 2022 – 27 марта 2022;1 016 264;0,035;
28 марта 2022 – 3 апреля 2022;1 021 599;0,035;
4 апреля 2022 – 10 апреля 2022;1 005 050;0,035;
11 апреля 2022 – 17 апреля 2022;963 331;0,034;
18 апреля 2022 – 24 апреля 2022;919 012;0,033;
25 апреля 2022 – 1 мая 2022;989 721;0,037;
2 мая 2022 – 8 мая 2022;1 146 319;0,045;
9 мая 2022 – 15 мая 2022;1 419 596;0,052;
16 мая 2022 – 22 мая 2022;1 355 454;0,047;
23 мая 2022 – 29 мая 2022;1 405 717;0,051;
30 мая 2022 – 5 июня 2022;1 411 237;0,055;
6 июня 2022 – 12 июня 2022;1 283 559;0,052;
13 июня 2022 – 19 июня 2022;1 330 306;0,054;
20 июня 2022 – 26 июня 2022;1 290 726;0,050;
27 июня 2022 – 3 июля 2022;1 283 883;0,053;
4 июля 2022 – 10 июля 2022;1 329 235;0,057;
11 июля 2022 – 17 июля 2022;1 371 095;0,057;
18 июля 2022 – 24 июля 2022;1 426 342;0,060;
25 июля 2022 – 31 июля 2022;1 688 628;0,071;
1 августа 2022 – 7 августа 2022;2 313 077;0,098;
