Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «самоубийство», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
2 марта 2020 – 8 марта 2020;45 232;0,0021;
9 марта 2020 – 15 марта 2020;49 099;0,0022;
16 марта 2020 – 22 марта 2020;43 983;0,0019;
23 марта 2020 – 29 марта 2020;42 918;0,0019;
30 марта 2020 – 5 апреля 2020;48 562;0,0020;
6 апреля 2020 – 12 апреля 2020;56 837;0,0020;
13 апреля 2020 – 19 апреля 2020;60 510;0,0021;
20 апреля 2020 – 26 апреля 2020;62 515;0,0021;
27 апреля 2020 – 3 мая 2020;60 759;0,0023;
4 мая 2020 – 10 мая 2020;66 047;0,0028;
11 мая 2020 – 17 мая 2020;55 704;0,0021;
18 мая 2020 – 24 мая 2020;56 688;0,0021;
25 мая 2020 – 31 мая 2020;54 932;0,0024;
1 июня 2020 – 7 июня 2020;60 221;0,0027;
8 июня 2020 – 14 июня 2020;50 651;0,0025;
15 июня 2020 – 21 июня 2020;46 081;0,0022;
22 июня 2020 – 28 июня 2020;42 564;0,0021;
29 июня 2020 – 5 июля 2020;37 266;0,0019;
6 июля 2020 – 12 июля 2020;33 871;0,0017;
13 июля 2020 – 19 июля 2020;33 266;0,0017;
20 июля 2020 – 26 июля 2020;33 282;0,0017;
27 июля 2020 – 2 августа 2020;32 693;0,0017;
3 августа 2020 – 9 августа 2020;32 393;0,0017;
10 августа 2020 – 16 августа 2020;30 511;0,0016;
17 августа 2020 – 23 августа 2020;29 847;0,0015;
24 августа 2020 – 30 августа 2020;32 327;0,0016;
31 августа 2020 – 6 сентября 2020;33 737;0,0016;
7 сентября 2020 – 13 сентября 2020;45 746;0,0021;
14 сентября 2020 – 20 сентября 2020;49 980;0,0022;
21 сентября 2020 – 27 сентября 2020;48 815;0,0021;
28 сентября 2020 – 4 октября 2020;56 508;0,0024;
5 октября 2020 – 11 октября 2020;53 971;0,0022;
12 октября 2020 – 18 октября 2020;52 007;0,0021;
