Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «что подарить на день рождения», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
2 марта 2020 – 8 марта 2020;101 217;0,0047;
9 марта 2020 – 15 марта 2020;107 088;0,0048;
16 марта 2020 – 22 марта 2020;104 013;0,0046;
23 марта 2020 – 29 марта 2020;89 560;0,0040;
30 марта 2020 – 5 апреля 2020;66 738;0,0028;
6 апреля 2020 – 12 апреля 2020;91 423;0,0032;
13 апреля 2020 – 19 апреля 2020;97 400;0,0034;
20 апреля 2020 – 26 апреля 2020;109 241;0,0038;
27 апреля 2020 – 3 мая 2020;112 164;0,0043;
4 мая 2020 – 10 мая 2020;106 772;0,0046;
11 мая 2020 – 17 мая 2020;129 465;0,0049;
18 мая 2020 – 24 мая 2020;142 435;0,0055;
25 мая 2020 – 31 мая 2020;129 456;0,0056;
1 июня 2020 – 7 июня 2020;138 553;0,0063;
8 июня 2020 – 14 июня 2020;122 072;0,0060;
15 июня 2020 – 21 июня 2020;128 531;0,0062;
22 июня 2020 – 28 июня 2020;121 961;0,0061;
29 июня 2020 – 5 июля 2020;127 779;0,0065;
6 июля 2020 – 12 июля 2020;121 039;0,0064;
13 июля 2020 – 19 июля 2020;123 942;0,0066;
20 июля 2020 – 26 июля 2020;124 479;0,0066;
27 июля 2020 – 2 августа 2020;123 400;0,0065;
3 августа 2020 – 9 августа 2020;122 344;0,0065;
10 августа 2020 – 16 августа 2020;121 102;0,0064;
17 августа 2020 – 23 августа 2020;117 324;0,0061;
24 августа 2020 – 30 августа 2020;112 211;0,0058;
31 августа 2020 – 6 сентября 2020;108 697;0,0054;
7 сентября 2020 – 13 сентября 2020;129 972;0,0060;
14 сентября 2020 – 20 сентября 2020;139 244;0,0062;
21 сентября 2020 – 27 сентября 2020;137 444;0,0060;
28 сентября 2020 – 4 октября 2020;142 465;0,0062;
5 октября 2020 – 11 октября 2020;151 061;0,0064;
12 октября 2020 – 18 октября 2020;147 244;0,0060;
19 октября 2020 – 25 октября 2020;152 908;0,0061;
26 октября 2020 – 1 ноября 2020;152 761;0,0061;
2 ноября 2020 – 8 ноября 2020;163 047;0,0065;
9 ноября 2020 – 15 ноября 2020;158 682;0,0059;
16 ноября 2020 – 22 ноября 2020;157 090;0,0057;
23 ноября 2020 – 29 ноября 2020;164 563;0,0059;
30 ноября 2020 – 6 декабря 2020;150 357;0,0057;
7 декабря 2020 – 13 декабря 2020;135 313;0,0052;
14 декабря 2020 – 20 декабря 2020;123 369;0,0047;
21 декабря 2020 – 27 декабря 2020;100 234;0,0040;
28 декабря 2020 – 3 января 2021;76 441;0,0038;
4 января 2021 – 10 января 2021;122 640;0,0057;
11 января 2021 – 17 января 2021;148 830;0,0060;
18 января 2021 – 24 января 2021;150 435;0,0060;
25 января 2021 – 31 января 2021;150 090;0,0060;
