Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «что такое git», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
2 марта 2020 – 8 марта 2020;42 064;0,00196;
9 марта 2020 – 15 марта 2020;37 443;0,00170;
16 марта 2020 – 22 марта 2020;41 930;0,00188;
23 марта 2020 – 29 марта 2020;41 989;0,00189;
30 марта 2020 – 5 апреля 2020;49 649;0,00211;
6 апреля 2020 – 12 апреля 2020;48 883;0,00174;
13 апреля 2020 – 19 апреля 2020;44 500;0,00156;
20 апреля 2020 – 26 апреля 2020;45 228;0,00158;
27 апреля 2020 – 3 мая 2020;40 542;0,00156;
4 мая 2020 – 10 мая 2020;36 765;0,00159;
11 мая 2020 – 17 мая 2020;38 961;0,00149;
18 мая 2020 – 24 мая 2020;42 728;0,00165;
25 мая 2020 – 31 мая 2020;40 775;0,00178;
1 июня 2020 – 7 июня 2020;39 421;0,00179;
8 июня 2020 – 14 июня 2020;34 142;0,00168;
15 июня 2020 – 21 июня 2020;36 889;0,00180;
22 июня 2020 – 28 июня 2020;34 706;0,00173;
29 июня 2020 – 5 июля 2020;35 079;0,00180;
6 июля 2020 – 12 июля 2020;37 955;0,00201;
13 июля 2020 – 19 июля 2020;36 710;0,00195;
20 июля 2020 – 26 июля 2020;37 562;0,00199;
27 июля 2020 – 2 августа 2020;36 074;0,00192;
3 августа 2020 – 9 августа 2020;35 862;0,00191;
10 августа 2020 – 16 августа 2020;36 664;0,00194;
17 августа 2020 – 23 августа 2020;36 829;0,00194;
24 августа 2020 – 30 августа 2020;36 682;0,00192;
31 августа 2020 – 6 сентября 2020;39 557;0,00199;
7 сентября 2020 – 13 сентября 2020;45 620;0,00211;
14 сентября 2020 – 20 сентября 2020;48 311;0,00215;
21 сентября 2020 – 27 сентября 2020;52 450;0,00230;
28 сентября 2020 – 4 октября 2020;45 820;0,00199;
5 октября 2020 – 11 октября 2020;48 177;0,00204;
12 октября 2020 – 18 октября 2020;48 495;0,00198;
19 октября 2020 – 25 октября 2020;47 785;0,00191;
26 октября 2020 – 1 ноября 2020;46 263;0,00185;
2 ноября 2020 – 8 ноября 2020;46 415;0,00186;
9 ноября 2020 – 15 ноября 2020;50 520;0,00189;
16 ноября 2020 – 22 ноября 2020;51 093;0,00187;
23 ноября 2020 – 29 ноября 2020;49 642;0,00179;
30 ноября 2020 – 6 декабря 2020;48 968;0,00186;
7 декабря 2020 – 13 декабря 2020;49 598;0,00191;
14 декабря 2020 – 20 декабря 2020;46 710;0,00181;
21 декабря 2020 – 27 декабря 2020;44 037;0,00179;
28 декабря 2020 – 3 января 2021;27 178;0,00137;
4 января 2021 – 10 января 2021;25 803;0,00120;
11 января 2021 – 17 января 2021;45 694;0,00185;
18 января 2021 – 24 января 2021;47 303;0,00190;
25 января 2021 – 31 января 2021;50 516;0,00204;
1 февраля 2021 – 7 февраля 2021;50 519;0,00207;
8 февраля 2021 – 14 февраля 2021;53 530;0,00212;
15 февраля 2021 – 21 февраля 2021;57 773;0,00226;
22 февраля 2021 – 28 февраля 2021;48 484;0,00199;
1 марта 2021 – 7 марта 2021;58 590;0,00243;
8 марта 2021 – 14 марта 2021;53 467;0,00217;
15 марта 2021 – 21 марта 2021;57 577;0,00230;
22 марта 2021 – 28 марта 2021;56 577;0,00238;
29 марта 2021 – 4 апреля 2021;59 977;0,00244;
5 апреля 2021 – 11 апреля 2021;56 519;0,00223;
12 апреля 2021 – 18 апреля 2021;58 782;0,00236;
19 апреля 2021 – 25 апреля 2021;56 640;0,00224;
26 апреля 2021 – 2 мая 2021;51 481;0,00217;
3 мая 2021 – 9 мая 2021;41 288;0,00189;
10 мая 2021 – 16 мая 2021;49 831;0,00210;
17 мая 2021 – 23 мая 2021;54 827;0,00223;
24 мая 2021 – 30 мая 2021;52 661;0,00223;
31 мая 2021 – 6 июня 2021;53 283;0,00229;
7 июня 2021 – 13 июня 2021;52 429;0,00223;
14 июня 2021 – 20 июня 2021;48 044;0,00213;
21 июня 2021 – 27 июня 2021;52 572;0,00232;
28 июня 2021 – 4 июля 2021;53 867;0,00241;
5 июля 2021 – 11 июля 2021;53 804;0,00248;
12 июля 2021 – 18 июля 2021;55 600;0,00257;
19 июля 2021 – 25 июля 2021;56 346;0,00257;
26 июля 2021 – 1 августа 2021;54 171;0,00245;
2 августа 2021 – 8 августа 2021;53 138;0,00239;
9 августа 2021 – 15 августа 2021;57 024;0,00256;
16 августа 2021 – 22 августа 2021;60 287;0,00268;
23 августа 2021 – 29 августа 2021;59 072;0,00257;
30 августа 2021 – 5 сентября 2021;62 689;0,00266;
6 сентября 2021 – 12 сентября 2021;65 436;0,00274;
13 сентября 2021 – 19 сентября 2021;73 074;0,00291;
20 сентября 2021 – 26 сентября 2021;68 983;0,00267;
27 сентября 2021 – 3 октября 2021;67 288;0,00268;
4 октября 2021 – 10 октября 2021;68 500;0,00273;
11 октября 2021 – 17 октября 2021;71 309;0,00272;
18 октября 2021 – 24 октября 2021;70 762;0,00268;
25 октября 2021 – 31 октября 2021;71 429;0,00279;
1 ноября 2021 – 7 ноября 2021;64 120;0,00260;
8 ноября 2021 – 14 ноября 2021;73 443;0,00269;
15 ноября 2021 – 21 ноября 2021;73 841;0,00267;
22 ноября 2021 – 28 ноября 2021;74 120;0,00269;
29 ноября 2021 – 5 декабря 2021;72 247;0,00265;
